ó^Ç¶ÇΩèdóvìx,0.130000,0.230000,0.120000,0.220000,0.110000,0.210000,0.090000,0.190000,0.080000,0.180000,0.070000,0.170000,0.050000,0.150000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
36,0.150723, 0.252359,0.101790, 0.166353,0.164989, 0.228545,0.096836, 0.170493,0.103974, 0.198696,0.055095, 0.123219,0.063090, 0.123837,0.527007
37,0.147172, 0.216980,0.128686, 0.267574,0.103280, 0.188557,0.133810, 0.161381,0.075748, 0.133810,0.133719, 0.163047,0.062852, 0.083382,0.429465
38,0.121367, 0.211343,0.140614, 0.230631,0.106690, 0.247579,0.103474, 0.141382,0.137696, 0.153359,0.093848, 0.148091,0.049364, 0.114563,0.493894
39,0.124170, 0.192556,0.124024, 0.250548,0.131518, 0.199138,0.099569, 0.203403,0.081445, 0.150296,0.073850, 0.177770,0.053785, 0.137928,0.623277
40,0.113375, 0.225594,0.163430, 0.173719,0.106543, 0.230902,0.103461, 0.233180,0.151893, 0.163430,0.066331, 0.106543,0.047456, 0.114142,0.495020
41,0.132722, 0.237662,0.141766, 0.221289,0.127054, 0.208476,0.087397, 0.139082,0.102780, 0.199640,0.069541, 0.137911,0.052913, 0.141766,0.571653
42,0.154678, 0.181416,0.095760, 0.313963,0.110014, 0.174035,0.083353, 0.222067,0.085930, 0.182294,0.076402, 0.174373,0.049135, 0.096580,0.689455
43,0.153896, 0.200375,0.094539, 0.200368,0.129879, 0.190671,0.080591, 0.238408,0.100188, 0.135881,0.095336, 0.175257,0.043429, 0.161182,0.604285
44,0.104931, 0.213142,0.156315, 0.218264,0.210942, 0.214295,0.104955, 0.169527,0.062401, 0.175854,0.072755, 0.132754,0.039062, 0.124802,0.497277
45,0.138117, 0.302791,0.143799, 0.252486,0.100181, 0.220863,0.121891, 0.132511,0.094884, 0.144543,0.058634, 0.138117,0.051001, 0.100181,0.582986
46,0.144598, 0.170209,0.124529, 0.212408,0.106204, 0.171545,0.165554, 0.216685,0.075644, 0.178418,0.101009, 0.151288,0.052742, 0.129167,0.459441
47,0.144648, 0.217543,0.132248, 0.264050,0.135100, 0.156133,0.108771, 0.188953,0.082121, 0.147178,0.073589, 0.089539,0.066012, 0.194115,0.515020
48,0.137786, 0.232787,0.116394, 0.179833,0.165783, 0.229121,0.100043, 0.200398,0.084609, 0.163856,0.059608, 0.169218,0.075032, 0.085533,0.521494
49,0.083048, 0.240043,0.157206, 0.179162,0.144419, 0.187743,0.117432, 0.187191,0.088778, 0.203243,0.091887, 0.158252,0.067748, 0.093848,0.498963
50,0.125955, 0.320529,0.127462, 0.273224,0.103820, 0.163054,0.081527, 0.159367,0.083436, 0.131962,0.084828, 0.166871,0.052009, 0.125955,0.681926
51,0.132225, 0.160436,0.107074, 0.135282,0.135282, 0.257200,0.080401, 0.232863,0.069943, 0.209975,0.101275, 0.152082,0.060310, 0.165653,0.626982
52,0.144532, 0.173600,0.138398, 0.152415,0.152415, 0.204736,0.071798, 0.224378,0.105249, 0.172070,0.086035, 0.167001,0.051619, 0.155754,0.499907
53,0.146492, 0.237011,0.100118, 0.197568,0.184974, 0.213466,0.108936, 0.214425,0.062076, 0.100118,0.070654, 0.143015,0.066087, 0.155060,0.521327
54,0.139235, 0.225721,0.157134, 0.234320,0.108789, 0.158485,0.111873, 0.160581,0.083210, 0.170904,0.068158, 0.166971,0.047956, 0.166663,0.567290
55,0.178167, 0.216799,0.123191, 0.190240,0.152658, 0.251459,0.093182, 0.153377,0.105510, 0.204059,0.068020, 0.101232,0.063164, 0.098942,0.432218
56,0.149273, 0.174896,0.142343, 0.149273,0.146636, 0.156845,0.073863, 0.240226,0.143817, 0.151027,0.075513, 0.172713,0.060057, 0.163517,0.416994
57,0.119878, 0.290552,0.137691, 0.255378,0.133724, 0.159466,0.075139, 0.092733,0.127689, 0.166681,0.092733, 0.152201,0.073181, 0.122956,0.479932
58,0.116285, 0.182153,0.159013, 0.247999,0.099240, 0.243252,0.082337, 0.169920,0.103501, 0.207379,0.084960, 0.136253,0.057714, 0.109993,0.593898
59,0.179045, 0.285301,0.121038, 0.182235,0.142141, 0.189338,0.092769, 0.169518,0.082584, 0.121102,0.102400, 0.142397,0.087618, 0.102515,0.384810
60,0.109252, 0.177594,0.085772, 0.229355,0.157101, 0.253467,0.074254, 0.129852,0.078403, 0.176027,0.123243, 0.148508,0.100364, 0.156806,0.543219
61,0.104582, 0.211766,0.105883, 0.232483,0.132099, 0.294324,0.093865, 0.200671,0.100336, 0.137537,0.091758, 0.114704,0.047894, 0.132099,0.647167
62,0.148140, 0.252095,0.120809, 0.209432,0.140646, 0.186120,0.078632, 0.143717,0.092857, 0.159361,0.064431, 0.162047,0.079184, 0.162531,0.550604
63,0.154536, 0.262986,0.140521, 0.213204,0.131493, 0.226746,0.099593, 0.172929,0.101870, 0.138040,0.079247, 0.163063,0.034510, 0.081261,0.516459
64,0.158846, 0.225195,0.191261, 0.229866,0.110635, 0.158846,0.105853, 0.197616,0.097444, 0.150621,0.073374, 0.131729,0.061484, 0.107230,0.402206
65,0.117164, 0.234192,0.109227, 0.239893,0.100621, 0.208981,0.103716, 0.168014,0.119947, 0.176962,0.074357, 0.136639,0.068320, 0.141968,0.613298
66,0.142511, 0.153937,0.103392, 0.173060,0.149783, 0.186658,0.083008, 0.206783,0.071255, 0.076969,0.100284, 0.212723,0.139070, 0.200568,0.421396
67,0.123792, 0.142644,0.123613, 0.248454,0.136271, 0.197541,0.096067, 0.161444,0.059171, 0.193712,0.095872, 0.153719,0.075566, 0.192134,0.579296
68,0.151425, 0.224719,0.110358, 0.198291,0.092616, 0.302849,0.074046, 0.195537,0.071965, 0.156283,0.056275, 0.140941,0.061423, 0.163272,0.763785
69,0.128663, 0.261236,0.128799, 0.235640,0.073133, 0.247060,0.111145, 0.131816,0.051862, 0.146390,0.119482, 0.147333,0.097927, 0.119513,0.577978
70,0.130578, 0.220222,0.118900, 0.211539,0.110111, 0.158535,0.103980, 0.278798,0.070513, 0.166214,0.123742, 0.142742,0.060146, 0.103980,0.564059
71,0.123209, 0.231945,0.120974, 0.178628,0.102673, 0.291519,0.071662, 0.134117,0.089314, 0.158453,0.114652, 0.155683,0.072880, 0.154292,0.609274
72,0.220107, 0.227650,0.106346, 0.253725,0.126863, 0.247258,0.113825, 0.123255,0.054831, 0.144296,0.063287, 0.120576,0.069656, 0.128325,0.490171
73,0.090488, 0.219520,0.115296, 0.183285,0.159127, 0.227742,0.097537, 0.243927,0.091643, 0.179648,0.064132, 0.090488,0.075767, 0.161401,0.612023
74,0.166730, 0.225680,0.102613, 0.180679,0.120581, 0.225629,0.085452, 0.191958,0.084471, 0.241162,0.050526, 0.175934,0.047531, 0.101053,0.684189
75,0.158949, 0.264616,0.100337, 0.207278,0.110369, 0.200673,0.081239, 0.171835,0.122985, 0.144034,0.069450, 0.123339,0.075077, 0.169818,0.563188
76,0.204238, 0.230035,0.104737, 0.108084,0.107418, 0.220961,0.110290, 0.215847,0.102118, 0.140661,0.056191, 0.204238,0.070330, 0.124853,0.489357
77,0.107075, 0.180604,0.136155, 0.214151,0.100088, 0.282687,0.085475, 0.159453,0.126955, 0.158526,0.127305, 0.170950,0.048153, 0.102424,0.537589
78,0.160469, 0.235568,0.149828, 0.205174,0.091259, 0.185773,0.083099, 0.231086,0.054513, 0.166198,0.094506, 0.125961,0.056097, 0.160469,0.620459
79,0.121986, 0.233207,0.109581, 0.235069,0.123316, 0.194514,0.075195, 0.219162,0.069767, 0.257971,0.066964, 0.176571,0.046646, 0.070051,0.773089
80,0.113201, 0.231765,0.099624, 0.266052,0.076534, 0.124543,0.094584, 0.183276,0.091638, 0.210169,0.088391, 0.162314,0.063188, 0.194720,0.745679
81,0.163281, 0.235978,0.110809, 0.234238,0.105989, 0.110809,0.128551, 0.244884,0.105423, 0.163281,0.107296, 0.110383,0.050529, 0.128551,0.456247
82,0.121160, 0.253069,0.118653, 0.183183,0.083525, 0.247263,0.068179, 0.223364,0.146077, 0.147159,0.074455, 0.150999,0.043133, 0.139782,0.689636
83,0.114246, 0.233564,0.166348, 0.228492,0.110701, 0.243366,0.131536, 0.189979,0.054475, 0.115627,0.076223, 0.139189,0.063867, 0.132387,0.565207
84,0.165804, 0.195718,0.168155, 0.213308,0.089725, 0.165589,0.136166, 0.198924,0.080568, 0.145942,0.127052, 0.168155,0.049731, 0.095161,0.365598
85,0.109222, 0.276377,0.096205, 0.227175,0.121583, 0.219021,0.109511, 0.180658,0.113587, 0.151069,0.064963, 0.139296,0.061409, 0.129925,0.647042
86,0.141127, 0.289648,0.114639, 0.122197,0.122197, 0.147356,0.082570, 0.143701,0.089894, 0.225628,0.104784, 0.169731,0.061001, 0.185527,0.567576
