ó^Ç¶ÇΩèdóvìx,0.140000,0.220000,0.120000,0.220000,0.100000,0.220000,0.070000,0.210000,0.070000,0.190000,0.070000,0.170000,0.060000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
36,0.074193, 0.221069,0.055006, 0.269846,0.228616, 0.291316,0.056097, 0.146049,0.082640, 0.188792,0.026467, 0.175677,0.054249, 0.129983,0.845463
37,0.063065, 0.266930,0.169961, 0.293567,0.091714, 0.175216,0.025679, 0.231764,0.066733, 0.156784,0.106441, 0.207061,0.057603, 0.087483,0.837608
38,0.158860, 0.177712,0.168286, 0.301967,0.070116, 0.102580,0.044774, 0.172696,0.078101, 0.260969,0.000001, 0.284832,0.024631, 0.154475,0.910461
39,0.095294, 0.230591,0.035851, 0.285882,0.104292, 0.322786,0.027645, 0.162943,0.114272, 0.208513,0.000001, 0.235593,0.025978, 0.150359,1.193332
40,0.020123, 0.265275,0.066709, 0.255489,0.000001, 0.402451,0.005715, 0.232761,0.000001, 0.195609,0.068948, 0.243208,0.031161, 0.212549,1.614683
41,0.119050, 0.265377,0.088144, 0.246178,0.083806, 0.251442,0.066680, 0.181441,0.090721, 0.187317,0.058046, 0.163423,0.031215, 0.167161,0.924676
42,0.120848, 0.352839,0.119009, 0.276897,0.087007, 0.257207,0.062168, 0.101533,0.000001, 0.222380,0.067238, 0.104233,0.044565, 0.184076,0.998327
43,0.069747, 0.282430,0.118200, 0.288792,0.102365, 0.250673,0.062123, 0.157956,0.073073, 0.163223,0.117512, 0.173030,0.062159, 0.078716,0.789639
44,0.135147, 0.252163,0.146559, 0.295578,0.068056, 0.175962,0.050470, 0.224716,0.071231, 0.221918,0.039529, 0.194918,0.026925, 0.096827,0.924163
45,0.083912, 0.245926,0.000001, 0.297947,0.000001, 0.337844,0.082598, 0.276146,0.053328, 0.222140,0.000001, 0.205971,0.029265, 0.164919,1.501787
46,0.000001, 0.331418,0.024737, 0.318583,0.089598, 0.238295,0.110710, 0.207873,0.084766, 0.159292,0.058986, 0.182413,0.029206, 0.164123,1.203992
47,0.127513, 0.292436,0.126857, 0.215550,0.106665, 0.224914,0.092680, 0.208318,0.063342, 0.108841,0.059347, 0.151533,0.092509, 0.129494,0.662173
48,0.081570, 0.266884,0.093420, 0.335176,0.090433, 0.219448,0.082296, 0.203506,0.000001, 0.233858,0.032575, 0.138535,0.022725, 0.199572,1.193959
49,0.100318, 0.239448,0.140756, 0.241081,0.135388, 0.179586,0.070171, 0.169883,0.085209, 0.187468,0.000001, 0.263841,0.000001, 0.186848,0.936312
50,0.080366, 0.301585,0.084353, 0.236100,0.000001, 0.297867,0.035220, 0.272133,0.063844, 0.242840,0.044286, 0.137137,0.010933, 0.193336,1.361996
51,0.126743, 0.220449,0.000001, 0.339331,0.030173, 0.386985,0.069526, 0.198345,0.069733, 0.229469,0.000001, 0.187998,0.011113, 0.130133,1.385421
52,0.157210, 0.239295,0.062756, 0.189779,0.000001, 0.344578,0.074977, 0.217509,0.062321, 0.189779,0.032719, 0.239295,0.088813, 0.100966,1.042404
53,0.014450, 0.409713,0.049659, 0.284579,0.119799, 0.357557,0.031775, 0.163787,0.066724, 0.133459,0.066724, 0.122995,0.044714, 0.134065,1.212311
54,0.141199, 0.213825,0.085828, 0.294636,0.082797, 0.245333,0.000001, 0.268349,0.049657, 0.177512,0.000001, 0.205513,0.063411, 0.171939,1.154213
55,0.079846, 0.238602,0.198123, 0.209379,0.019949, 0.305627,0.067929, 0.209728,0.008480, 0.305627,0.056047, 0.109034,0.059590, 0.132038,1.020070
56,0.146568, 0.170924,0.102945, 0.240215,0.000001, 0.230454,0.084431, 0.191805,0.110841, 0.258804,0.049371, 0.233878,0.048331, 0.131432,0.915022
57,0.124962, 0.176726,0.150737, 0.150737,0.023819, 0.301474,0.150737, 0.150737,0.047814, 0.232657,0.011383, 0.249925,0.051563, 0.176726,0.877967
58,0.030219, 0.399448,0.143659, 0.292221,0.068014, 0.148877,0.049432, 0.242611,0.008573, 0.216891,0.093082, 0.158097,0.054223, 0.094655,1.105597
59,0.086827, 0.249133,0.000001, 0.242190,0.000001, 0.332664,0.084062, 0.260818,0.028640, 0.152830,0.060951, 0.268685,0.069366, 0.163831,1.340305
60,0.116257, 0.278224,0.084489, 0.244459,0.101494, 0.289406,0.000001, 0.205301,0.080200, 0.191493,0.046328, 0.177867,0.038789, 0.145692,1.064882
61,0.033876, 0.307719,0.089454, 0.298823,0.000001, 0.333887,0.000001, 0.281480,0.067982, 0.212898,0.080514, 0.129941,0.054871, 0.108554,1.346602
62,0.121588, 0.294287,0.081436, 0.161739,0.119958, 0.305301,0.000001, 0.218052,0.038701, 0.190283,0.084549, 0.188291,0.060333, 0.135481,0.986868
63,0.130184, 0.342805,0.122275, 0.260842,0.086187, 0.127517,0.079484, 0.149053,0.083742, 0.213703,0.032719, 0.183534,0.000001, 0.187954,0.930816
64,0.117234, 0.280404,0.000001, 0.331529,0.090197, 0.296271,0.067918, 0.217478,0.000001, 0.186728,0.032484, 0.198819,0.049705, 0.131232,1.284922
65,0.139894, 0.282297,0.145978, 0.249517,0.034460, 0.201138,0.004468, 0.225838,0.034034, 0.225838,0.072989, 0.115209,0.070593, 0.197748,0.995168
66,0.150137, 0.218916,0.076301, 0.184526,0.089601, 0.257359,0.098364, 0.221190,0.000001, 0.196830,0.027605, 0.300464,0.037150, 0.141556,1.041683
67,0.062352, 0.291684,0.097378, 0.221623,0.102259, 0.221623,0.056592, 0.289043,0.067021, 0.132615,0.000001, 0.224563,0.038491, 0.194755,1.151814
68,0.029196, 0.382221,0.092570, 0.323002,0.000001, 0.266863,0.051971, 0.209169,0.069723, 0.185091,0.000001, 0.182263,0.038674, 0.169255,1.435728
69,0.095214, 0.196107,0.126890, 0.285722,0.000001, 0.236630,0.014776, 0.232593,0.079192, 0.204230,0.069289, 0.241139,0.040249, 0.177968,1.148778
70,0.077520, 0.253296,0.064738, 0.290423,0.041062, 0.239505,0.076960, 0.173047,0.116095, 0.243706,0.090882, 0.153942,0.055853, 0.122971,0.953781
71,0.129979, 0.138671,0.000001, 0.311612,0.134325, 0.302903,0.013592, 0.255593,0.055105, 0.160072,0.129979, 0.138671,0.095173, 0.134325,0.883693
72,0.090240, 0.326006,0.120992, 0.205014,0.081501, 0.195267,0.073521, 0.205014,0.023862, 0.242775,0.064750, 0.209209,0.056803, 0.105047,0.976662
73,0.046208, 0.257307,0.093669, 0.227397,0.043612, 0.261676,0.148778, 0.218339,0.081681, 0.272603,0.065373, 0.134450,0.000001, 0.148905,1.041355
74,0.119984, 0.353714,0.097143, 0.169350,0.114121, 0.230587,0.036243, 0.256162,0.028554, 0.168292,0.085693, 0.165174,0.069206, 0.105775,0.898108
75,0.045143, 0.334319,0.093417, 0.263478,0.095783, 0.259661,0.028801, 0.157160,0.089224, 0.182470,0.005040, 0.217691,0.049363, 0.178448,1.186456
76,0.148430, 0.263161,0.070532, 0.229065,0.047835, 0.204573,0.106778, 0.209478,0.028290, 0.272987,0.024760, 0.113962,0.079392, 0.200757,0.987965
77,0.092657, 0.284282,0.096536, 0.274094,0.025929, 0.319128,0.058683, 0.185315,0.064945, 0.199477,0.079023, 0.120454,0.079023, 0.120454,1.006409
78,0.110586, 0.144090,0.000001, 0.289317,0.055080, 0.347888,0.054090, 0.246218,0.000001, 0.254095,0.036036, 0.251444,0.057173, 0.153980,1.374065
79,0.150700, 0.245954,0.091321, 0.282641,0.081635, 0.190395,0.058551, 0.179322,0.061731, 0.242660,0.071830, 0.155467,0.064755, 0.123038,0.838954
80,0.131127, 0.242218,0.000001, 0.367555,0.075567, 0.265019,0.014747, 0.265019,0.095921, 0.146297,0.078349, 0.194171,0.000001, 0.124009,1.208575
81,0.076358, 0.192321,0.000001, 0.341414,0.000001, 0.321156,0.000001, 0.259519,0.060279, 0.237189,0.105843, 0.192321,0.021275, 0.192321,1.472485
82,0.026777, 0.386258,0.063044, 0.152405,0.017502, 0.378261,0.036725, 0.215449,0.000001, 0.252436,0.058765, 0.198741,0.044402, 0.169235,1.505570
83,0.050671, 0.394964,0.000001, 0.310497,0.060492, 0.181418,0.032758, 0.265509,0.057537, 0.148751,0.047927, 0.251311,0.052279, 0.145884,1.396669
84,0.134721, 0.236188,0.102208, 0.240791,0.047238, 0.274925,0.089154, 0.184462,0.049890, 0.235497,0.045966, 0.180651,0.065728, 0.112581,0.930188
85,0.187358, 0.282598,0.099795, 0.188820,0.139738, 0.234978,0.000001, 0.250555,0.012859, 0.179561,0.053592, 0.180703,0.028779, 0.160664,0.955756
86,0.112939, 0.316352,0.142690, 0.176581,0.159057, 0.194104,0.085858, 0.223444,0.076737, 0.171716,0.079529, 0.108388,0.064313, 0.088290,0.557752
