ó^Ç¶ÇΩèdóvìx,0.145000,0.215000,0.130000,0.210000,0.115000,0.205000,0.090000,0.190000,0.075000,0.185000,0.060000,0.180000,0.035000,0.165000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
36,0.139059, 0.201286,0.159527, 0.253148,0.105539, 0.159527,0.059606, 0.232641,0.109317, 0.151225,0.100643, 0.156751,0.042062, 0.129669,0.568493
37,0.177473, 0.298639,0.149319, 0.318282,0.110797, 0.113542,0.070935, 0.194974,0.077609, 0.111242,0.098121, 0.157798,0.046253, 0.075017,0.538986
38,0.104445, 0.256585,0.115556, 0.234345,0.096603, 0.272058,0.083482, 0.132588,0.105922, 0.193205,0.078477, 0.180605,0.036633, 0.109497,0.757766
39,0.136640, 0.262855,0.105350, 0.279457,0.129193, 0.195868,0.084016, 0.205556,0.094560, 0.175728,0.074592, 0.168033,0.027647, 0.060504,0.696003
40,0.151970, 0.217194,0.149317, 0.165911,0.161858, 0.253407,0.108588, 0.164521,0.070775, 0.209339,0.050851, 0.155072,0.036332, 0.104866,0.540618
41,0.211225, 0.239316,0.117526, 0.231733,0.119658, 0.248901,0.065483, 0.140944,0.073386, 0.150626,0.067851, 0.119749,0.074101, 0.139503,0.541541
42,0.133587, 0.205973,0.149101, 0.186168,0.102922, 0.175725,0.133211, 0.204710,0.081722, 0.149101,0.081505, 0.147582,0.068237, 0.180454,0.499428
43,0.197399, 0.200265,0.176133, 0.241599,0.113017, 0.230229,0.063240, 0.180874,0.090437, 0.159676,0.046079, 0.113017,0.034912, 0.153125,0.557568
44,0.102023, 0.201896,0.182687, 0.184204,0.100746, 0.239901,0.109891, 0.266049,0.086562, 0.126943,0.063471, 0.122588,0.053210, 0.159828,0.602819
45,0.118548, 0.233839,0.124436, 0.129419,0.097457, 0.272800,0.112927, 0.156016,0.129160, 0.131672,0.077946, 0.175710,0.045156, 0.194915,0.588740
46,0.182189, 0.264284,0.113884, 0.236147,0.119895, 0.227768,0.064459, 0.199209,0.088095, 0.149709,0.040523, 0.132934,0.040538, 0.140368,0.700836
47,0.166340, 0.251063,0.125639, 0.166340,0.137108, 0.188480,0.071908, 0.138793,0.094240, 0.200235,0.065569, 0.180975,0.058164, 0.155146,0.562064
48,0.149002, 0.295648,0.100588, 0.217544,0.116233, 0.201177,0.145355, 0.170607,0.069171, 0.149118,0.061420, 0.152242,0.039655, 0.132239,0.637149
49,0.159130, 0.346983,0.095334, 0.159130,0.133391, 0.209583,0.135229, 0.159823,0.079911, 0.207040,0.063794, 0.148039,0.034714, 0.067898,0.596993
50,0.140765, 0.238987,0.119493, 0.222815,0.147993, 0.207411,0.102279, 0.184237,0.046496, 0.228854,0.072081, 0.150590,0.034071, 0.103929,0.673644
51,0.157345, 0.172766,0.107771, 0.245448,0.107820, 0.176281,0.121492, 0.234972,0.088141, 0.178929,0.081816, 0.176713,0.029014, 0.121492,0.613204
52,0.110090, 0.189713,0.156497, 0.187296,0.161307, 0.232195,0.094857, 0.183522,0.077398, 0.188075,0.093512, 0.172348,0.035889, 0.117299,0.540898
53,0.150108, 0.159064,0.143608, 0.288183,0.137091, 0.189118,0.062595, 0.143608,0.082051, 0.155476,0.068783, 0.226266,0.054427, 0.139623,0.602674
54,0.183058, 0.191153,0.189603, 0.202006,0.095576, 0.238124,0.081231, 0.204390,0.094340, 0.098233,0.101921, 0.190869,0.047445, 0.082050,0.413649
55,0.128278, 0.268093,0.127757, 0.198321,0.124998, 0.257633,0.099161, 0.170931,0.072617, 0.153036,0.073622, 0.124998,0.045876, 0.154678,0.655383
56,0.152822, 0.336993,0.104011, 0.156314,0.168497, 0.238805,0.097204, 0.107545,0.104952, 0.184184,0.064903, 0.111288,0.041821, 0.130662,0.531582
57,0.146134, 0.211735,0.128064, 0.251713,0.103421, 0.106049,0.090117, 0.260289,0.076895, 0.149360,0.062928, 0.186383,0.052058, 0.174852,0.680763
58,0.160860, 0.186498,0.134193, 0.199644,0.186498, 0.242789,0.117686, 0.214855,0.102056, 0.171048,0.062006, 0.121919,0.032545, 0.067403,0.408313
59,0.108534, 0.203751,0.114035, 0.191228,0.101876, 0.292417,0.088401, 0.252066,0.117940, 0.142762,0.069473, 0.126468,0.050413, 0.140637,0.698657
60,0.100003, 0.191725,0.126176, 0.200005,0.117603, 0.185689,0.089000, 0.254992,0.087663, 0.193783,0.068655, 0.200346,0.043095, 0.141265,0.735609
61,0.151806, 0.251294,0.131593, 0.237821,0.118911, 0.246041,0.104674, 0.162053,0.076270, 0.150855,0.075428, 0.148776,0.050259, 0.094220,0.582120
62,0.138635, 0.263519,0.110526, 0.155609,0.113972, 0.254992,0.073047, 0.221306,0.061802, 0.171868,0.084997, 0.167716,0.039146, 0.142866,0.755750
63,0.105679, 0.187932,0.187932, 0.220887,0.122391, 0.268582,0.079437, 0.214452,0.061382, 0.160837,0.088637, 0.122391,0.049301, 0.130157,0.610479
64,0.167967, 0.231718,0.209995, 0.335935,0.105726, 0.125438,0.074580, 0.143995,0.076528, 0.113340,0.054463, 0.149159,0.057499, 0.153657,0.506484
65,0.131313, 0.338436,0.112629, 0.150172,0.067525, 0.208053,0.103463, 0.167851,0.088728, 0.152298,0.073797, 0.182993,0.056406, 0.166336,0.732277
66,0.137914, 0.179158,0.142699, 0.212408,0.086771, 0.285859,0.142930, 0.203801,0.089579, 0.154082,0.062862, 0.142699,0.065976, 0.093262,0.542540
67,0.135033, 0.179359,0.169043, 0.215252,0.088151, 0.200419,0.098342, 0.153127,0.095443, 0.238268,0.071751, 0.216689,0.043680, 0.095443,0.597116
68,0.136433, 0.236470,0.108669, 0.157812,0.118235, 0.295068,0.097465, 0.117409,0.100567, 0.228937,0.076312, 0.156087,0.053730, 0.116808,0.617180
69,0.202631, 0.227917,0.170676, 0.226040,0.090964, 0.158144,0.075642, 0.173674,0.075414, 0.101642,0.098559, 0.215374,0.053843, 0.129478,0.464539
70,0.119836, 0.189121,0.189121, 0.213070,0.145655, 0.234134,0.089569, 0.157278,0.078272, 0.147929,0.063040, 0.127490,0.057982, 0.187501,0.513047
71,0.163275, 0.234330,0.132126, 0.188845,0.114082, 0.240711,0.094422, 0.145489,0.124890, 0.217475,0.074805, 0.136868,0.042083, 0.090598,0.508633
72,0.143262, 0.242584,0.131222, 0.261490,0.097167, 0.177710,0.081980, 0.146922,0.111638, 0.194334,0.065020, 0.131222,0.070714, 0.144734,0.597992
73,0.175075, 0.243987,0.112735, 0.175075,0.158840, 0.229857,0.108867, 0.236472,0.067957, 0.108867,0.070353, 0.159314,0.033909, 0.118693,0.544528
74,0.176198, 0.210415,0.160107, 0.202317,0.159912, 0.196090,0.084317, 0.088099,0.098045, 0.214793,0.066012, 0.163216,0.043896, 0.136584,0.423029
75,0.115240, 0.141612,0.134852, 0.254951,0.101200, 0.253334,0.122747, 0.152040,0.084855, 0.237803,0.073192, 0.169711,0.040328, 0.118134,0.655169
76,0.168774, 0.244292,0.133034, 0.268199,0.122146, 0.218975,0.065324, 0.141897,0.084255, 0.144166,0.058895, 0.119847,0.055431, 0.174765,0.624282
77,0.135260, 0.167272,0.125222, 0.199861,0.099931, 0.270483,0.151200, 0.151216,0.048395, 0.144236,0.062499, 0.252725,0.049346, 0.142354,0.656295
78,0.090088, 0.164891,0.164891, 0.204559,0.164891, 0.312807,0.085113, 0.134802,0.056545, 0.198548,0.083663, 0.126102,0.042876, 0.170225,0.623866
