ó^Ç¶ÇΩèdóvìx,0.140000,0.220000,0.120000,0.220000,0.100000,0.220000,0.070000,0.210000,0.070000,0.190000,0.070000,0.170000,0.060000,0.140000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
36,0.130768, 0.168583,0.124274, 0.165145,0.261536, 0.300226,0.065384, 0.152990,0.069586, 0.152990,0.049637, 0.147002,0.065384, 0.146496,0.466864
37,0.125114, 0.170250,0.228250, 0.264880,0.074102, 0.148438,0.068811, 0.228250,0.071303, 0.157184,0.125114, 0.174659,0.046756, 0.116889,0.521099
38,0.182580, 0.228215,0.182580, 0.228215,0.076968, 0.129839,0.047686, 0.165275,0.091290, 0.206389,0.076968, 0.195111,0.060860, 0.128025,0.562136
39,0.156851, 0.197668,0.107810, 0.197951,0.172157, 0.242474,0.061354, 0.179300,0.115285, 0.192256,0.072888, 0.130366,0.039696, 0.133942,0.547916
40,0.073519, 0.198168,0.096065, 0.213438,0.164784, 0.225833,0.061754, 0.165354,0.058867, 0.203955,0.075278, 0.205123,0.084163, 0.173700,0.771140
41,0.153262, 0.194078,0.153262, 0.190677,0.142872, 0.176638,0.086835, 0.182566,0.088319, 0.182566,0.054489, 0.165429,0.053190, 0.175818,0.535543
42,0.182171, 0.227409,0.165523, 0.225368,0.098228, 0.189333,0.074216, 0.123578,0.082762, 0.191328,0.059143, 0.123346,0.074216, 0.183380,0.527484
43,0.144804, 0.221267,0.171947, 0.221267,0.101280, 0.199597,0.057316, 0.190995,0.064119, 0.170014,0.101280, 0.177457,0.064119, 0.114539,0.590272
44,0.176471, 0.223269,0.186323, 0.235774,0.064373, 0.197601,0.088235, 0.152147,0.109645, 0.201816,0.062337, 0.145752,0.036663, 0.119594,0.551906
45,0.164408, 0.218830,0.087306, 0.189975,0.156245, 0.201823,0.094449, 0.208342,0.058019, 0.191323,0.056050, 0.116039,0.062172, 0.195020,0.642703
46,0.139040, 0.177730,0.139040, 0.240926,0.117062, 0.168344,0.139040, 0.180706,0.117062, 0.168344,0.049323, 0.158520,0.046347, 0.158520,0.506178
47,0.173593, 0.207323,0.173593, 0.215260,0.098701, 0.198083,0.090878, 0.197403,0.061833, 0.129654,0.047423, 0.184931,0.086797, 0.134529,0.534364
48,0.132115, 0.185025,0.209406, 0.270012,0.073994, 0.174325,0.075798, 0.179734,0.045970, 0.164582,0.043169, 0.154533,0.066057, 0.225279,0.706981
49,0.157936, 0.200061,0.157936, 0.208957,0.157936, 0.201892,0.094725, 0.179295,0.083109, 0.181746,0.056291, 0.166218,0.041316, 0.112582,0.501502
50,0.090101, 0.206948,0.102083, 0.216728,0.141241, 0.195354,0.086043, 0.205022,0.053387, 0.219203,0.059346, 0.190114,0.048714, 0.185716,0.838169
51,0.168042, 0.221263,0.110899, 0.195493,0.176445, 0.217262,0.072421, 0.193439,0.065164, 0.201842,0.058815, 0.140974,0.036966, 0.140974,0.622495
52,0.165385, 0.223993,0.082692, 0.205067,0.079291, 0.196847,0.059380, 0.198038,0.079291, 0.205067,0.082692, 0.198264,0.082692, 0.141300,0.737153
53,0.184000, 0.226858,0.111137, 0.236959,0.113429, 0.228767,0.046325, 0.209063,0.072637, 0.151416,0.065433, 0.143321,0.051239, 0.159417,0.711600
54,0.169418, 0.222989,0.178346, 0.229933,0.097702, 0.208649,0.050709, 0.195404,0.054973, 0.192093,0.063778, 0.132030,0.063417, 0.140559,0.643315
55,0.104805, 0.228295,0.184817, 0.248999,0.092409, 0.193897,0.066126, 0.209611,0.055253, 0.203480,0.046988, 0.155497,0.061024, 0.148800,0.777156
56,0.163582, 0.211201,0.093696, 0.191360,0.081791, 0.175487,0.081791, 0.191360,0.151677, 0.195328,0.081791, 0.191360,0.054527, 0.135049,0.582289
57,0.093164, 0.183458,0.149270, 0.203692,0.074635, 0.189991,0.149270, 0.203692,0.082175, 0.182237,0.074635, 0.181016,0.053420, 0.179345,0.646863
58,0.169740, 0.266324,0.133162, 0.219689,0.065890, 0.194308,0.060191, 0.203187,0.064139, 0.169479,0.084051, 0.174698,0.060191, 0.134952,0.725272
59,0.136913, 0.207291,0.090253, 0.176519,0.090253, 0.217135,0.083975, 0.205715,0.050293, 0.170748,0.139889, 0.187508,0.063831, 0.179676,0.689186
60,0.197845, 0.241496,0.095103, 0.217453,0.110827, 0.192370,0.061907, 0.137471,0.082116, 0.217453,0.098923, 0.158446,0.037509, 0.151080,0.631540
61,0.104605, 0.225711,0.118173, 0.249827,0.091509, 0.171273,0.061006, 0.236345,0.055996, 0.182814,0.104605, 0.175007,0.064290, 0.158838,0.799631
62,0.136880, 0.214165,0.110906, 0.165019,0.193001, 0.238819,0.056381, 0.138475,0.062972, 0.198603,0.110906, 0.165019,0.064334, 0.144520,0.529240
63,0.183760, 0.219474,0.167887, 0.222781,0.100809, 0.150752,0.073158, 0.143326,0.124958, 0.202808,0.052672, 0.172900,0.054429, 0.130287,0.484654
64,0.165893, 0.220315,0.082947, 0.214308,0.153989, 0.207560,0.071436, 0.191239,0.064514, 0.179334,0.059266, 0.201608,0.046575, 0.141016,0.710760
65,0.190152, 0.223119,0.180300, 0.219709,0.059526, 0.131008,0.095076, 0.142862,0.059835, 0.195164,0.067047, 0.130790,0.106065, 0.199347,0.483999
66,0.161610, 0.221835,0.101150, 0.204900,0.109995, 0.232839,0.099413, 0.212221,0.053395, 0.128424,0.046614, 0.219989,0.059472, 0.148143,0.736702
67,0.171799, 0.221402,0.097804, 0.207094,0.108427, 0.212924,0.058629, 0.216854,0.082984, 0.163216,0.055323, 0.129453,0.068809, 0.205281,0.712450
68,0.195984, 0.243603,0.180111, 0.227730,0.097992, 0.157856,0.048996, 0.211022,0.069657, 0.140849,0.055118, 0.195149,0.041075, 0.134858,0.622134
69,0.153530, 0.216859,0.171404, 0.220855,0.085702, 0.125995,0.060798, 0.184142,0.076765, 0.201358,0.059335, 0.198319,0.060798, 0.184142,0.663339
70,0.148004, 0.202880,0.145839, 0.199443,0.086734, 0.152667,0.071571, 0.172849,0.099721, 0.206091,0.103045, 0.182753,0.057719, 0.170684,0.574732
