ó^Ç¶ÇΩèdóvìx,0.145000,0.215000,0.130000,0.210000,0.115000,0.205000,0.090000,0.190000,0.075000,0.185000,0.060000,0.180000,0.035000,0.165000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
36,0.082951, 0.257394,0.132533, 0.280142,0.061878, 0.203189,0.027181, 0.265067,0.088947, 0.171596,0.085798, 0.171596,0.000001, 0.171729,1.041423
37,0.075604, 0.400508,0.125887, 0.341715,0.106939, 0.117400,0.041570, 0.224338,0.073562, 0.115290,0.087665, 0.168254,0.008977, 0.112294,0.959596
38,0.074817, 0.286212,0.012493, 0.337408,0.082448, 0.286212,0.041119, 0.174951,0.000001, 0.299126,0.046811, 0.212271,0.020387, 0.125743,1.443846
39,0.104254, 0.295241,0.000001, 0.384807,0.103546, 0.221515,0.075807, 0.213766,0.088268, 0.182020,0.019070, 0.223555,0.000001, 0.088150,1.218105
40,0.133627, 0.235537,0.135324, 0.179904,0.155341, 0.259924,0.101529, 0.171580,0.000001, 0.280113,0.039817, 0.166106,0.000001, 0.141197,0.868720
41,0.177601, 0.272940,0.104431, 0.244829,0.112635, 0.255924,0.040982, 0.165444,0.053396, 0.170616,0.050622, 0.136978,0.065544, 0.148059,0.789578
42,0.061351, 0.278210,0.139542, 0.195728,0.084890, 0.193757,0.063372, 0.274549,0.063189, 0.167635,0.059307, 0.169780,0.057477, 0.191213,0.941744
43,0.188798, 0.208866,0.140049, 0.277683,0.096417, 0.246829,0.035248, 0.208866,0.085342, 0.164771,0.014682, 0.144413,0.000001, 0.188036,0.878926
44,0.000001, 0.303917,0.181631, 0.185261,0.089874, 0.250774,0.068742, 0.307198,0.054358, 0.159147,0.060673, 0.125387,0.050111, 0.162928,0.989224
45,0.079077, 0.273309,0.123439, 0.130416,0.090091, 0.280166,0.089277, 0.179666,0.125111, 0.135721,0.073990, 0.179666,0.000001, 0.240070,0.838028
46,0.130154, 0.316318,0.089294, 0.260736,0.004779, 0.342884,0.050291, 0.213377,0.077699, 0.160105,0.000001, 0.173456,0.000001, 0.180904,1.295561
47,0.153886, 0.263517,0.083278, 0.208701,0.068467, 0.257121,0.044021, 0.166679,0.081437, 0.213039,0.042256, 0.204288,0.050437, 0.162873,0.952438
48,0.137176, 0.307474,0.088265, 0.229868,0.026358, 0.291052,0.126349, 0.189613,0.026338, 0.191951,0.051436, 0.162226,0.031014, 0.140880,1.026126
49,0.141735, 0.364377,0.037558, 0.216906,0.117518, 0.225456,0.084611, 0.210441,0.073763, 0.213189,0.041282, 0.170551,0.025954, 0.076658,0.955157
50,0.077156, 0.302596,0.101025, 0.241283,0.129255, 0.226149,0.088851, 0.197664,0.010266, 0.265083,0.044968, 0.177702,0.000001, 0.137998,1.096953
51,0.144313, 0.185798,0.017779, 0.335440,0.051259, 0.232842,0.113347, 0.243117,0.081271, 0.185798,0.067571, 0.190958,0.000001, 0.150505,1.048919
52,0.066295, 0.233509,0.077526, 0.266267,0.112770, 0.280732,0.085160, 0.193219,0.073869, 0.191605,0.085948, 0.179912,0.023705, 0.129483,0.949454
53,0.141938, 0.167234,0.134049, 0.297742,0.122358, 0.203850,0.044522, 0.161681,0.045367, 0.192160,0.008282, 0.286767,0.039464, 0.154586,0.928039
54,0.172983, 0.201228,0.187105, 0.204504,0.093553, 0.240148,0.074252, 0.211369,0.090321, 0.102252,0.096286, 0.196504,0.036447, 0.093049,0.498107
55,0.000001, 0.396370,0.070833, 0.255246,0.108589, 0.274042,0.088033, 0.182059,0.045592, 0.180061,0.007304, 0.191315,0.000001, 0.200553,1.359294
56,0.127769, 0.362046,0.077633, 0.182692,0.153562, 0.253740,0.087727, 0.117023,0.096041, 0.193095,0.061445, 0.114745,0.017972, 0.154511,0.755702
57,0.136787, 0.221082,0.000001, 0.379777,0.098929, 0.110541,0.000001, 0.350406,0.049159, 0.177096,0.050670, 0.198641,0.047973, 0.178936,1.232958
58,0.145769, 0.201588,0.117041, 0.216796,0.175562, 0.253725,0.095852, 0.236689,0.065968, 0.207136,0.058083, 0.125842,0.022165, 0.077782,0.639119
59,0.000001, 0.312284,0.044007, 0.261255,0.086377, 0.307915,0.036969, 0.303498,0.064760, 0.195941,0.056411, 0.139530,0.041968, 0.149082,1.339012
60,0.081545, 0.210182,0.034454, 0.291728,0.055607, 0.247685,0.040700, 0.303292,0.012048, 0.269398,0.000001, 0.268999,0.021269, 0.163091,1.508750
61,0.084737, 0.318363,0.068377, 0.301037,0.110261, 0.254690,0.065177, 0.201550,0.040428, 0.186697,0.063175, 0.161028,0.040310, 0.104169,1.055069
62,0.123595, 0.278559,0.001060, 0.265075,0.010027, 0.358936,0.033231, 0.261122,0.000001, 0.233669,0.076561, 0.176152,0.013369, 0.168644,1.484311
63,0.089202, 0.204410,0.167717, 0.241103,0.105514, 0.285459,0.073166, 0.220723,0.038598, 0.183622,0.015542, 0.195487,0.032310, 0.147148,0.955904
64,0.157229, 0.242457,0.146244, 0.399685,0.082900, 0.148264,0.064745, 0.153830,0.071873, 0.117994,0.000001, 0.203622,0.021288, 0.189868,0.911439
65,0.012967, 0.456782,0.000001, 0.262800,0.012778, 0.262801,0.072089, 0.199225,0.067424, 0.173602,0.037538, 0.219252,0.049358, 0.173384,1.495690
66,0.111278, 0.205794,0.133633, 0.221474,0.043697, 0.328933,0.130946, 0.215784,0.081220, 0.162441,0.043121, 0.162441,0.048501, 0.110737,0.815207
67,0.097187, 0.217205,0.140164, 0.244130,0.074322, 0.214248,0.088769, 0.162701,0.084889, 0.248822,0.064863, 0.223577,0.000001, 0.139122,0.899608
68,0.056569, 0.316334,0.094564, 0.171916,0.105833, 0.307470,0.062927, 0.151947,0.000001, 0.329502,0.061755, 0.170644,0.026300, 0.144239,1.184105
69,0.183479, 0.247069,0.140732, 0.255983,0.031938, 0.217169,0.050959, 0.198358,0.068275, 0.108781,0.027251, 0.286682,0.047600, 0.135722,0.899530
70,0.107861, 0.201096,0.159185, 0.243007,0.132793, 0.246996,0.062771, 0.184077,0.073686, 0.152515,0.053062, 0.137468,0.053390, 0.192093,0.714504
71,0.094893, 0.302713,0.101216, 0.219755,0.088438, 0.266356,0.080243, 0.159669,0.053694, 0.288671,0.051188, 0.160485,0.033279, 0.099401,0.994100
72,0.117409, 0.268438,0.113594, 0.279118,0.085876, 0.189000,0.054220, 0.174682,0.061421, 0.244551,0.020187, 0.176055,0.050151, 0.165296,0.994283
73,0.148710, 0.270352,0.082874, 0.204937,0.145395, 0.243303,0.088412, 0.256927,0.004154, 0.172669,0.052843, 0.176823,0.013501, 0.139100,0.928221
74,0.172415, 0.214197,0.143020, 0.219404,0.141805, 0.214197,0.075762, 0.096653,0.089000, 0.223838,0.051227, 0.178001,0.008064, 0.172415,0.637412
75,0.099470, 0.157383,0.099463, 0.290341,0.030125, 0.324409,0.113054, 0.161733,0.067383, 0.255275,0.000001, 0.242902,0.030035, 0.128426,1.120937
76,0.132351, 0.280715,0.083863, 0.317370,0.103266, 0.237855,0.029625, 0.177596,0.057194, 0.171227,0.000001, 0.178742,0.023663, 0.206533,1.140071
77,0.091221, 0.211312,0.022667, 0.302416,0.086908, 0.283505,0.151150, 0.151266,0.000001, 0.192630,0.000001, 0.315222,0.040434, 0.151266,1.215237
78,0.070255, 0.184725,0.127827, 0.241623,0.127827, 0.349872,0.077253, 0.142661,0.020713, 0.234379,0.073058, 0.136706,0.003337, 0.209764,0.999460
79,0.117262, 0.270660,0.035669, 0.275418,0.080862, 0.278639,0.095520, 0.235375,0.102520, 0.137709,0.072732, 0.137409,0.026895, 0.133330,0.937080
80,0.046612, 0.303821,0.079512, 0.241682,0.104551, 0.268013,0.076348, 0.185761,0.065298, 0.208240,0.110326, 0.168504,0.000001, 0.141331,1.034703
81,0.058410, 0.402693,0.113371, 0.152217,0.113672, 0.247288,0.055863, 0.128781,0.075240, 0.141944,0.088902, 0.152217,0.061777, 0.207626,0.865530
82,0.118286, 0.262800,0.136576, 0.168970,0.139403, 0.175200,0.076386, 0.175200,0.000001, 0.286341,0.074595, 0.174922,0.039748, 0.171571,0.830007
83,0.135462, 0.290260,0.118636, 0.177848,0.133907, 0.232453,0.095700, 0.172114,0.066953, 0.134366,0.097255, 0.172114,0.024690, 0.148242,0.654792
84,0.093906, 0.211800,0.075318, 0.226439,0.033125, 0.310192,0.095232, 0.214960,0.076426, 0.205245,0.052271, 0.152853,0.075439, 0.176795,0.996565
85,0.163239, 0.197476,0.113890, 0.220153,0.137776, 0.188702,0.000001, 0.255570,0.000001, 0.237874,0.032059, 0.167021,0.071762, 0.214475,0.962543
86,0.078805, 0.293572,0.133631, 0.235745,0.142999, 0.189372,0.042461, 0.191504,0.083093, 0.181122,0.093655, 0.190403,0.008077, 0.135559,0.834557
87,0.131429, 0.186316,0.090989, 0.418084,0.145072, 0.162736,0.081920, 0.190765,0.056222, 0.153904,0.050722, 0.090200,0.054779, 0.186862,0.777733
88,0.099532, 0.235882,0.106603, 0.184620,0.091552, 0.198706,0.008942, 0.357267,0.052544, 0.145611,0.053000, 0.305174,0.008257, 0.152310,1.159140
89,0.000001, 0.346277,0.167186, 0.201457,0.150050, 0.184321,0.090791, 0.207185,0.021005, 0.252738,0.063395, 0.194488,0.028857, 0.092251,0.957433
90,0.073081, 0.362973,0.104978, 0.224410,0.039357, 0.204764,0.116108, 0.266448,0.063090, 0.155400,0.002875, 0.203838,0.055795, 0.126883,1.089432
91,0.131332, 0.218620,0.157694, 0.261157,0.105963, 0.209426,0.078712, 0.199934,0.062596, 0.190941,0.051826, 0.174976,0.029454, 0.127369,0.764846
92,0.138538, 0.252085,0.146004, 0.239747,0.078649, 0.192875,0.094880, 0.226907,0.012185, 0.241627,0.037987, 0.195311,0.000820, 0.142386,0.981875
93,0.176231, 0.280006,0.114059, 0.174091,0.081407, 0.351090,0.068144, 0.174091,0.000001, 0.224996,0.073312, 0.161474,0.034053, 0.087046,0.905589
94,0.090748, 0.261786,0.057949, 0.218770,0.090771, 0.240789,0.078162, 0.145041,0.153788, 0.274784,0.059344, 0.139612,0.013955, 0.174501,0.910565
95,0.122753, 0.272910,0.078428, 0.289314,0.061376, 0.230089,0.000001, 0.245505,0.102448, 0.250964,0.046353, 0.160055,0.000001, 0.139804,1.177279
96,0.092976, 0.218829,0.026328, 0.312000,0.099947, 0.263300,0.000001, 0.341499,0.050256, 0.162031,0.000001, 0.283213,0.000001, 0.149618,1.460981
97,0.117509, 0.344686,0.041141, 0.281689,0.115549, 0.229137,0.090356, 0.211917,0.056433, 0.143745,0.036403, 0.163928,0.000001, 0.167508,1.085217
98,0.000001, 0.337629,0.123204, 0.199815,0.088061, 0.271909,0.034353, 0.192455,0.063450, 0.184551,0.126900, 0.202662,0.013502, 0.161509,1.101061
99,0.122452, 0.342833,0.035735, 0.323927,0.082781, 0.185078,0.027366, 0.200636,0.000001, 0.335251,0.063621, 0.111373,0.043322, 0.125626,1.249445
100,0.165012, 0.165012,0.165012, 0.165012,0.084278, 0.224457,0.037795, 0.212703,0.141472, 0.212703,0.094582, 0.176782,0.011456, 0.143723,0.600786
101,0.130918, 0.254125,0.130564, 0.329280,0.096542, 0.246213,0.051823, 0.125497,0.081695, 0.193083,0.061991, 0.131093,0.000001, 0.167175,0.892934
102,0.116901, 0.258790,0.157207, 0.187845,0.066817, 0.296712,0.123477, 0.197406,0.043820, 0.162668,0.062615, 0.167775,0.040075, 0.117891,0.778175
103,0.161791, 0.236020,0.113156, 0.248044,0.073244, 0.323191,0.096601, 0.198906,0.070904, 0.198435,0.000001, 0.167020,0.021511, 0.091175,0.925582
104,0.071662, 0.309288,0.081875, 0.196810,0.000001, 0.345406,0.114285, 0.195003,0.069671, 0.176342,0.064342, 0.204520,0.018413, 0.152380,1.159500
105,0.052869, 0.311002,0.155460, 0.233251,0.100516, 0.137403,0.063956, 0.190220,0.103562, 0.193457,0.076401, 0.128049,0.058955, 0.194898,0.776560
106,0.135146, 0.311323,0.121443, 0.230493,0.039728, 0.320320,0.000001, 0.264066,0.082393, 0.108941,0.067614, 0.160602,0.045718, 0.112214,1.015918
107,0.165655, 0.242246,0.082479, 0.262410,0.076396, 0.254915,0.083047, 0.232813,0.000001, 0.278092,0.055218, 0.114725,0.040298, 0.111705,0.993810
108,0.117125, 0.324895,0.000001, 0.290333,0.077366, 0.220901,0.153101, 0.172449,0.111429, 0.192752,0.003791, 0.170817,0.023635, 0.141405,1.027105
109,0.153412, 0.232226,0.067810, 0.284491,0.090641, 0.209254,0.000001, 0.278415,0.086895, 0.205725,0.053575, 0.152090,0.025987, 0.159482,1.043363
110,0.149452, 0.242710,0.008224, 0.339395,0.107204, 0.232191,0.108223, 0.169697,0.063753, 0.213650,0.056126, 0.143711,0.000001, 0.165664,1.014035
111,0.080335, 0.235746,0.098350, 0.212723,0.109779, 0.268447,0.101657, 0.235881,0.054268, 0.174911,0.083933, 0.119382,0.101657, 0.122930,0.740040
112,0.211827, 0.287011,0.148775, 0.257804,0.088731, 0.240549,0.072095, 0.242931,0.056245, 0.132526,0.064917, 0.097376,0.019945, 0.079267,0.674930
