é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
81,0.377998,0.450857,0.784403,0.618959,0.740917,0.835191,0.634721, 
82,0.762709,0.824072,0.458716,0.588473,0.725033,0.677947,0.672825, 
83,0.000000,0.458716,0.452296,0.710871,0.455197,0.814470,0.481925, 
84,0.943979,0.798998,0.992923,0.972550,0.866096,0.740321,0.885811, 
85,0.437250,0.221946,0.387711,0.634903,0.756193,0.511276,0.491547, 
86,0.613210,0.790525,0.756493,0.625776,0.932492,0.679399,0.732983, 
87,0.694317,0.674424,0.914453,0.707225,0.934871,0.988138,0.818905, 
88,0.532838,0.333854,0.664172,0.837752,0.788991,0.956903,0.685752, 
89,0.231493,0.487805,0.374532,0.493120,0.947067,0.736700,0.545119, 
90,0.738077,0.657757,0.617284,0.783708,0.467618,0.715718,0.663360, 
91,0.674242,0.413891,0.870146,0.940508,0.941861,0.407731,0.708063, 
92,0.871080,0.794979,0.705089,0.891808,0.919889,0.636521,0.803228, 
93,0.000000,0.246382,0.484185,0.718125,0.698972,0.537431,0.447516, 
94,0.680918,0.589020,0.378788,0.798686,0.059473,0.746695,0.542263, 
95,0.632911,0.777946,0.331126,0.615571,0.542373,0.632911,0.588806, 
96,0.224757,0.907872,0.963474,0.546971,0.772918,0.847977,0.710661, 
97,0.875523,0.713427,0.869878,0.921562,0.809252,0.873138,0.843797, 
98,0.020928,0.898301,0.596230,0.637888,0.789325,0.752582,0.615876, 
99,0.884956,0.964611,0.562106,0.686059,0.579193,0.787872,0.744133, 
100,0.804829,0.540541,0.331126,0.805023,0.653685,0.654725,0.631655, 
101,0.632911,0.684932,0.604230,0.810173,0.258364,0.579797,0.595068, 
102,0.871512,0.522743,0.534146,0.706365,0.423158,0.758038,0.635994, 
103,0.860517,0.557829,0.751748,0.510239,0.720943,0.770575,0.695309, 
104,0.485695,0.694864,0.471698,0.772397,0.909214,0.445669,0.629923, 
105,0.624404,0.794561,0.754054,0.953937,0.898430,0.588553,0.768990, 
106,0.168882,0.813186,0.690386,0.529587,0.739390,0.849541,0.631829, 
107,0.874455,0.819242,0.625081,0.866180,0.752816,0.507076,0.740808, 
108,0.853273,0.530612,0.844116,0.644998,0.788765,0.956359,0.769687, 
109,0.409551,0.552764,0.458398,0.718966,0.863337,0.894870,0.649648, 
110,0.907152,0.661157,0.735150,0.923664,0.856198,0.865046,0.824728, 
111,0.349705,0.580913,0.626832,0.602543,0.825191,0.713761,0.616491, 
112,0.684931,0.352579,0.715183,0.642797,0.633639,0.711805,0.623489, 
113,0.837321,0.784063,0.722036,0.838622,0.759314,0.440730,0.730347, 
114,0.426362,0.575540,0.303030,0.812741,0.643079,0.574608,0.555893, 
115,0.875000,0.756790,0.411831,0.894608,0.633660,0.774127,0.724336, 
116,0.672502,0.572687,0.403226,0.793234,0.831223,0.833800,0.684446, 
117,0.245465,0.878797,0.353005,0.554493,0.521616,0.856980,0.568393, 
118,0.827564,0.765009,0.886965,0.709069,0.904824,0.630654,0.787347, 
119,0.885746,0.694318,0.587194,0.687430,0.823022,0.152716,0.638404, 
120,0.909091,0.534961,0.481836,0.927326,0.818471,0.731383,0.733845, 
121,0.535544,0.132790,0.485437,0.485437,0.893271,0.833423,0.560984, 
122,0.627134,0.708268,0.684618,0.647871,0.877453,0.731695,0.712840, 
123,0.263234,0.363636,0.301243,0.375940,0.850931,0.685989,0.473496, 
124,0.449115,0.522388,0.447928,0.857342,0.824968,0.784605,0.647724, 
125,0.673450,0.648464,0.469354,0.822158,0.864342,0.797512,0.712547, 
126,0.471698,0.750593,0.302152,0.299850,0.612648,0.583090,0.503339, 
127,0.667955,0.357173,0.774835,0.848962,0.834682,0.827513,0.718520, 
128,0.561709,0.697230,0.530223,0.917424,0.808571,0.734167,0.708220, 
129,0.696071,0.769885,0.760108,0.873009,0.891443,0.819228,0.801624, 
130,0.000000,0.760348,0.838645,0.810722,0.807003,0.850482,0.677867, 
131,0.871080,0.654206,0.825781,0.855954,0.827508,0.348520,0.730508, 
132,0.802752,0.512821,0.618451,0.749140,0.866170,0.889376,0.739785, 
133,0.514713,0.745753,0.617345,0.869022,0.930337,0.763751,0.740154, 
134,0.656226,0.763277,0.855468,0.717790,0.900425,0.792291,0.780913, 
135,0.268661,0.960082,0.932445,0.825603,0.820555,0.898376,0.784287, 
136,0.631875,0.650934,0.764220,0.864646,0.787271,0.822587,0.753589, 
137,0.508790,0.489510,0.768504,0.434783,0.851267,0.688679,0.623589, 
138,0.142082,0.661274,0.688731,0.651103,0.783138,0.830692,0.626170, 
139,0.362666,0.417790,0.321719,0.680131,0.785953,0.997296,0.594259, 
140,0.671141,0.312500,0.655653,0.331126,0.465116,0.641761,0.512883, 
141,0.902111,0.000000,0.608505,0.712871,0.846055,0.852792,0.653722, 
142,0.459513,0.674847,0.481928,0.906671,0.861611,0.683930,0.678083, 
143,0.751445,0.462810,0.435736,0.857061,0.548302,0.904611,0.659994, 
144,0.503180,0.771654,0.592784,0.764731,0.745483,0.383934,0.626961, 
145,0.441615,0.887412,0.586243,0.938962,0.836253,0.735771,0.737709, 
146,0.639838,0.816138,0.509358,0.547336,0.857917,0.703778,0.679061, 
147,0.730378,0.417725,0.970260,0.949186,0.941044,0.653822,0.777069, 
148,0.543067,0.476782,0.789014,0.881597,0.560000,0.927199,0.696276, 
149,0.692320,0.487805,0.374532,0.897622,0.682140,0.657296,0.631952, 
150,0.512145,0.628276,0.412021,0.572087,0.851498,0.677336,0.608894, 
151,0.680273,0.647060,0.420398,0.960660,0.847552,0.728352,0.714049, 
152,0.791623,0.707905,0.543886,0.905365,0.782161,0.896999,0.771323, 
153,0.481799,0.550036,0.391458,0.803393,0.575540,0.648487,0.575119, 
154,0.271817,0.743936,0.568182,0.613909,0.732033,0.742739,0.612103, 
155,0.077819,0.233714,0.906290,0.540188,0.629758,0.762883,0.525109, 
156,0.586594,0.304520,0.844654,0.361272,0.599365,0.948412,0.607470, 
157,0.200083,0.843016,0.565988,0.745148,0.861231,0.723461,0.656488, 
158,0.384221,0.560000,0.438823,0.812960,0.939155,0.777672,0.652138, 
159,0.905903,0.827596,0.795306,0.820932,0.822888,0.794380,0.827834, 
160,0.402514,0.489510,0.445511,0.722658,0.854365,0.877618,0.632029, 
161,0.761330,0.416667,0.658124,0.800344,0.594170,0.759831,0.665078, 
162,0.702372,0.619756,0.845511,0.698642,0.578091,0.686270,0.688440, 
163,0.000000,0.831924,0.542299,0.761169,0.800287,0.708233,0.607319, 
164,0.000000,0.499676,0.608784,0.628141,0.760095,0.817852,0.552425, 
165,0.000000,0.657194,0.684654,0.736878,0.857622,0.932706,0.644842, 
166,0.427919,0.705394,0.714981,0.458716,0.918240,0.601295,0.637757, 
167,0.443896,0.771452,0.333052,0.615689,0.659026,0.838458,0.610262, 
168,0.632911,0.105971,0.361272,0.560508,0.584346,0.763531,0.501423, 
169,0.914077,0.485437,0.531150,0.945567,0.581817,0.989861,0.741318, 
170,0.000000,0.205865,0.866525,0.554360,0.581916,0.740604,0.491545, 
171,0.911159,0.776377,0.748523,0.566145,0.790116,0.731105,0.753904, 
172,0.694316,0.954849,0.800672,0.645412,0.736842,0.722956,0.759175, 
173,0.517178,0.644301,0.560741,0.824372,0.824923,0.934121,0.717606, 
174,0.755451,0.723404,0.749257,0.875607,0.840188,0.651856,0.765961, 
175,0.618941,0.540541,0.816552,0.834968,0.824274,0.780971,0.736041, 
176,0.807058,0.192044,0.458716,0.647745,0.902262,0.691506,0.616555, 
177,0.430406,0.489510,0.472824,0.283768,0.750750,0.659586,0.514474, 
178,0.547122,0.794258,0.783049,0.609511,0.833025,0.711134,0.713016, 
179,0.842020,0.478700,0.747394,0.903594,0.840433,0.838979,0.775187, 
180,0.000000,0.273051,0.290698,0.290698,0.767865,0.928133,0.425074, 
181,0.389401,0.919892,0.778063,0.743124,0.761085,0.500898,0.682077, 
182,0.691750,0.540541,0.744893,0.554194,0.704797,0.609308,0.640914, 
183,0.648455,0.699527,0.806699,0.726691,0.902498,0.737587,0.753576, 
184,0.909297,0.515464,0.678372,0.615629,0.922261,0.800467,0.740248, 
185,0.834581,0.779661,0.578955,0.909132,0.600885,0.708681,0.735316, 
186,0.000000,0.526315,0.453084,0.616902,0.561654,0.834526,0.498747, 
187,0.463967,0.759843,0.531088,0.780284,0.691527,0.926262,0.692162, 
188,0.236076,0.439086,0.536578,0.856895,0.872928,0.758227,0.616632, 
189,0.582512,0.526316,0.657358,0.942917,0.909096,0.964197,0.763732, 
190,0.378777,0.771289,0.598424,0.584737,0.827345,0.872972,0.672257, 
191,0.558552,0.678899,0.646885,0.871267,0.897185,0.908297,0.760181, 
192,0.634295,0.690909,0.738160,0.866401,0.712419,0.589942,0.705354, 
193,0.000000,0.328402,0.290698,0.623841,0.331126,0.928133,0.417033, 
194,0.760782,0.797234,0.294037,0.584225,0.907424,0.884899,0.704767, 
195,0.496107,0.545455,0.615954,0.665908,0.910154,0.818009,0.675265, 
196,0.710228,0.509228,0.736323,0.785555,0.871866,0.639479,0.708780, 
197,0.739823,0.268151,0.896218,0.769089,0.468153,0.749002,0.648406, 
198,0.632911,0.329897,0.331126,0.432671,0.770315,0.759155,0.542679, 
199,0.726635,0.456269,0.886557,0.898095,0.763948,0.957951,0.781576, 
200,0.574956,0.594552,0.530223,0.915785,0.854782,0.795814,0.711019, 
201,0.222575,0.397775,0.372578,0.375940,0.849967,0.780009,0.499807, 
202,0.741989,0.783513,0.819357,0.608273,0.855391,0.640907,0.741572, 
203,0.574410,0.507184,0.425894,0.890812,0.921367,0.613233,0.655483, 
204,0.768345,0.575540,0.444444,0.781341,0.885597,0.861359,0.719438, 
