é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
81,0.769286,0.334706,0.890607,0.600806,0.754445,0.638311,0.664694, 
82,0.703534,0.552771,0.945217,0.160145,0.707383,0.794738,0.643965, 
83,0.000000,0.896997,0.253263,0.874615,0.678002,0.858746,0.593604, 
84,0.775446,0.933874,0.812264,0.958013,0.897013,0.871583,0.874699, 
85,0.000000,0.469571,0.647982,0.827120,0.649570,0.502040,0.516047, 
86,0.750416,0.722100,0.673269,0.567855,0.751233,0.837749,0.717104, 
87,0.675577,0.707365,0.938262,0.390363,0.857673,0.787071,0.726052, 
88,0.600297,0.426336,0.634726,0.728290,0.669240,0.584081,0.607162, 
89,0.749308,0.000000,0.000000,0.584191,0.825690,0.640501,0.466615, 
90,0.540042,0.510700,0.852360,0.702194,0.328403,0.774195,0.617982, 
91,0.938344,0.638026,0.955170,0.909630,0.966621,0.426830,0.805770, 
92,0.775519,0.819530,0.889518,0.777183,0.768096,0.786027,0.802645, 
93,0.000000,0.652561,0.401619,0.640676,0.875310,0.684104,0.542378, 
94,0.867306,0.499367,0.603205,0.818918,0.331735,0.371033,0.581927, 
95,0.000000,0.787052,0.000000,0.540239,0.778072,0.000000,0.350894, 
96,0.483549,0.805594,0.886461,0.558408,0.827351,0.579236,0.690100, 
97,0.291141,0.145679,0.864131,0.773925,0.685963,0.818447,0.596548, 
98,0.186908,0.788125,0.725285,0.579228,0.617548,0.674075,0.595195, 
99,0.983876,0.846357,0.463652,0.763474,0.632647,0.832046,0.753675, 
100,0.847533,0.490064,0.763627,0.800510,0.380007,0.735501,0.669540, 
101,0.793135,0.807816,0.677325,0.600494,0.562095,0.603794,0.674110, 
102,0.749656,0.467679,0.581437,0.673993,0.684982,0.730546,0.648049, 
103,0.049131,0.540476,0.792142,0.378448,0.722201,0.845849,0.554708, 
104,0.665632,0.942976,0.329918,0.578087,0.800981,0.321727,0.606553, 
105,0.758527,0.731246,0.620999,0.852860,0.960370,0.831560,0.792594, 
106,0.485622,0.652621,0.671770,0.299054,0.446786,0.529082,0.514156, 
107,0.597388,0.817563,0.807194,0.904616,0.845851,0.731145,0.783959, 
108,0.000000,0.752906,0.833427,0.345366,0.888923,0.883387,0.617335, 
109,0.467934,0.975985,0.162262,0.400000,0.742737,0.948922,0.616307, 
110,0.755224,0.976331,0.810553,0.940298,0.822015,0.241888,0.757718, 
111,0.000000,0.817675,0.759575,0.787602,0.781792,0.824832,0.661913, 
112,0.895342,0.312931,0.858720,0.658665,0.333216,0.475832,0.589118, 
113,0.633514,0.894740,0.622288,0.813456,0.647374,0.744316,0.725948, 
114,0.439472,0.185169,0.667175,0.779016,0.278491,0.842417,0.531957, 
115,0.708764,0.759496,0.564507,0.790987,0.760205,0.872554,0.742752, 
116,0.813276,0.743344,0.717792,0.840333,0.926455,0.689182,0.788397, 
117,0.537038,0.822939,0.314260,0.606230,0.466818,0.611832,0.559853, 
118,0.361398,0.912174,0.864888,0.511738,0.864830,0.796081,0.718518, 
119,0.777182,0.841253,0.670013,0.567151,0.898748,0.264916,0.669877, 
120,0.148646,0.734056,0.581110,0.914602,0.951066,0.737660,0.677857, 
121,0.443328,0.283039,0.462350,0.462350,0.853460,0.934148,0.573113, 
122,0.118438,0.848735,0.770877,0.730560,0.593585,0.771419,0.638936, 
123,0.478692,0.806955,0.721830,0.126335,0.719356,0.678987,0.588693, 
124,0.742081,0.747177,0.499481,0.875864,0.857083,0.693104,0.735799, 
125,0.782281,0.079522,0.523983,0.839628,0.951706,0.853281,0.671734, 
126,0.615530,0.914868,0.307612,0.172114,0.619754,0.360263,0.498357, 
127,0.649428,0.000000,0.842655,0.549373,0.742551,0.842563,0.604428, 
128,0.487478,0.875830,0.705889,0.696236,0.864606,0.393544,0.670597, 
129,0.537686,0.536546,0.600984,0.747674,0.835353,0.906410,0.694109, 
130,0.000000,0.937185,0.929688,0.647183,0.399165,0.882202,0.632571, 
131,0.994002,0.516070,0.915633,0.889078,0.628988,0.299635,0.707234, 
132,0.067795,0.385533,0.679742,0.649898,0.833659,0.633357,0.541664, 
133,0.425709,0.697893,0.807784,0.830176,0.753615,0.666823,0.697000, 
134,0.356667,0.693752,0.883416,0.661793,0.699269,0.555737,0.641772, 
135,0.396582,0.752915,0.786934,0.764611,0.723374,0.188871,0.602214, 
136,0.448122,0.566011,0.837877,0.807771,0.851852,0.401157,0.652132, 
137,0.383724,0.842789,0.732372,0.760915,0.899637,0.724340,0.723963, 
138,0.000000,0.686324,0.506894,0.652793,0.821022,0.566031,0.538844, 
139,0.364532,0.477347,0.307357,0.474884,0.979558,0.798265,0.566991, 
140,0.000000,0.939576,0.637649,0.461133,0.000000,0.807516,0.474312, 
141,0.620717,0.000000,0.286828,0.563583,0.812720,0.524355,0.468034, 
142,0.560255,0.315158,0.834690,0.767115,0.790302,0.937995,0.700919, 
143,0.000000,0.511833,0.757267,0.781648,0.402276,0.922990,0.562669, 
144,0.160850,0.881486,0.927530,0.693479,0.564421,0.083795,0.551927, 
145,0.571046,0.855315,0.412450,0.864293,0.196698,0.756666,0.609411, 
146,0.729118,0.768261,0.379682,0.779726,0.864726,0.896890,0.736401, 
147,0.554995,0.511003,0.746748,0.926692,0.678217,0.411046,0.638117, 
148,0.804076,0.242335,0.550066,0.704369,0.289012,0.815241,0.567517, 
149,0.000000,0.000000,0.518211,0.906188,0.880670,0.427001,0.455345, 
150,0.743340,0.198064,0.858835,0.574418,0.758312,0.820910,0.658980, 
151,0.699270,0.547003,0.527145,0.839062,0.471756,0.456738,0.590162, 
152,0.613634,0.734524,0.146903,0.895172,0.818514,0.942373,0.691853, 
153,0.576787,0.172647,0.792238,0.657001,0.104564,0.743483,0.507787, 
154,0.616236,0.871217,0.420109,0.678697,0.879034,0.877599,0.723815, 
155,0.508685,0.363480,0.868658,0.173088,0.673804,0.840068,0.571297, 
156,0.750617,0.156003,0.804315,0.191352,0.504831,0.783028,0.531691, 
157,0.219387,0.785595,0.487830,0.900863,0.689890,0.171589,0.542526, 
158,0.600431,0.171177,0.231257,0.672389,0.708551,0.451811,0.472603, 
159,0.685307,0.909827,0.903647,0.795545,0.591227,0.792107,0.779610, 
160,0.500968,0.302787,0.529841,0.636284,0.737899,0.697553,0.567555, 
161,0.547630,0.952446,0.717425,0.545978,0.000000,0.000000,0.460580, 
162,0.524637,0.634958,0.676294,0.509269,0.602353,0.727642,0.612525, 
163,0.242003,0.796009,0.299599,0.829110,0.845991,0.450265,0.577163, 
164,0.000000,0.582411,0.807923,0.490662,0.834553,0.783648,0.583200, 
165,0.000000,0.855641,0.796810,0.611924,0.702279,0.818298,0.630825, 
166,0.145633,0.773379,0.712038,0.320518,0.887436,0.497993,0.556166, 
167,0.314673,0.808673,0.304769,0.607501,0.443363,0.659964,0.523157, 
168,0.808279,0.000000,0.293562,0.728758,0.617690,0.817644,0.544322, 
169,0.562439,0.626869,0.145171,0.894430,0.707913,0.554893,0.581952, 
170,0.000000,0.000000,0.868224,0.379318,0.688258,0.796830,0.455438, 
171,0.707057,0.572959,0.900126,0.440657,0.617012,0.727530,0.660890, 
172,0.556205,0.843600,0.727625,0.759126,0.262569,0.717094,0.644370, 
173,0.086149,0.699922,0.868369,0.573777,0.764418,0.098459,0.515182, 
174,0.616964,0.815926,0.844714,0.744137,0.960029,0.702154,0.780654, 
175,0.737541,0.962804,0.667275,0.718383,0.728233,0.407864,0.703683, 
176,0.922151,0.599671,0.798296,0.627646,0.727270,0.816361,0.748566, 
177,0.250050,0.169772,0.697091,0.610062,0.703567,0.686923,0.519577, 
178,0.558141,0.941003,0.713060,0.731143,0.639337,0.612133,0.699136, 
179,0.373125,0.476175,0.850128,0.936823,0.568299,0.413301,0.602975, 
180,0.000000,0.380097,0.171748,0.171748,0.850079,0.710732,0.380734, 
181,0.543366,0.875482,0.605250,0.727867,0.473482,0.060659,0.547684, 
182,0.682037,0.706162,0.668210,0.367068,0.686987,0.692489,0.633826, 
183,0.789348,0.370095,0.832973,0.713057,0.863047,0.479991,0.674752, 
184,0.550508,0.482842,0.628345,0.625543,0.825055,0.419237,0.588588, 
185,0.624771,0.811824,0.813382,0.822596,0.367515,0.839793,0.713314, 
186,0.216982,0.935207,0.491108,0.652846,0.046066,0.760230,0.517073, 
187,0.063626,0.874531,0.419126,0.714502,0.322541,0.898394,0.548787, 
188,0.000000,0.507426,0.747973,0.746965,0.523415,0.878166,0.567324, 
189,0.489576,0.685345,0.798405,0.789961,0.752701,0.634339,0.691721, 
190,0.584962,0.560407,0.685793,0.801311,0.835423,0.123487,0.598564, 
