é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
81,0.636750,0.248209,0.810112,0.495993,0.637501,0.473696,0.550377, 
82,0.531208,0.313054,0.869001,0.068891,0.510221,0.600890,0.482211, 
83,0.000000,0.724560,0.135142,0.725824,0.516924,0.708487,0.468489, 
84,0.328371,0.741177,0.681310,0.873775,0.709875,0.791044,0.687592, 
85,0.000000,0.349705,0.475194,0.748964,0.444087,0.405886,0.403972, 
86,0.619748,0.546864,0.574011,0.440440,0.556211,0.788776,0.587675, 
87,0.403290,0.474945,0.815161,0.272992,0.829827,0.666723,0.577156, 
88,0.438301,0.283160,0.451684,0.590323,0.493033,0.385910,0.440402, 
89,0.530632,0.000000,0.000000,0.477482,0.720686,0.444000,0.362133, 
90,0.372116,0.274834,0.688784,0.601412,0.192439,0.828131,0.492953, 
91,0.835739,0.526609,0.925745,0.752788,0.848603,0.288788,0.696379, 
92,0.680960,0.696180,0.796594,0.633207,0.581211,0.651945,0.673350, 
93,0.000000,0.609734,0.222231,0.490307,0.802094,0.543437,0.444634, 
94,0.740696,0.300424,0.413423,0.683594,0.228224,0.209464,0.429304, 
95,0.000000,0.661580,0.000000,0.359345,0.677442,0.000000,0.283061, 
96,0.325512,0.698886,0.810147,0.439202,0.735213,0.363773,0.562122, 
97,0.000000,0.135773,0.665075,0.649212,0.509604,0.530501,0.415028, 
98,0.242020,0.666788,0.702715,0.462478,0.439714,0.497859,0.501929, 
99,0.794895,0.725574,0.289840,0.636248,0.477698,0.825093,0.624891, 
100,0.853801,0.307651,0.589210,0.665731,0.290946,0.651213,0.559759, 
101,0.663327,0.674593,0.533609,0.416702,0.408438,0.446281,0.523825, 
102,0.587741,0.266368,0.437200,0.493189,0.506156,0.601422,0.482013, 
103,0.070329,0.393003,0.683438,0.270577,0.549075,0.762122,0.454757, 
104,0.417979,0.752083,0.173201,0.381226,0.617265,0.233832,0.429264, 
105,0.423342,0.664528,0.405347,0.711730,0.797388,0.587784,0.598353, 
106,0.280665,0.549526,0.513342,0.164885,0.322327,0.319666,0.358402, 
107,0.145042,0.896241,0.817782,0.903617,0.626330,0.628739,0.669625, 
108,0.006618,0.611906,0.663355,0.126287,0.900524,0.708275,0.502827, 
109,0.311791,0.873507,0.102178,0.275911,0.668595,0.820689,0.508778, 
110,0.799451,0.930346,0.930139,0.946046,0.731169,0.076248,0.735566, 
111,0.069636,0.716748,0.716173,0.768094,0.678612,0.719008,0.611379, 
112,0.684959,0.173038,0.775262,0.526048,0.165151,0.323731,0.441365, 
113,0.508335,0.979820,0.521347,0.719220,0.507788,0.581680,0.636365, 
114,0.171614,0.083616,0.455435,0.581323,0.118739,0.732671,0.357233, 
115,0.552899,0.602903,0.330583,0.698315,0.669138,0.802458,0.609383, 
116,0.738285,0.526890,0.553812,0.742130,0.883761,0.526134,0.661835, 
117,0.411298,0.742607,0.194166,0.443677,0.320775,0.451670,0.427366, 
118,0.439099,0.682542,0.827698,0.298896,0.659464,0.582607,0.581718, 
119,0.659076,0.761858,0.616710,0.393128,0.844557,0.222401,0.582955, 
120,0.039929,0.395635,0.487868,0.804053,0.899872,0.492556,0.519985, 
121,0.285352,0.188221,0.375532,0.375532,0.768651,0.939165,0.488742, 
122,0.025121,0.733696,0.678922,0.588345,0.366788,0.599784,0.498776, 
123,0.392027,0.669695,0.518551,0.084006,0.600816,0.574570,0.473277, 
124,0.493867,0.699984,0.322188,0.760899,0.703251,0.489571,0.578293, 
125,0.534507,0.031358,0.459590,0.747096,0.893853,0.942084,0.601415, 
126,0.425247,0.869564,0.172741,0.090396,0.423608,0.210924,0.365413, 
127,0.487587,0.000000,0.772931,0.387484,0.568203,0.694625,0.485138, 
128,0.321611,0.802634,0.509197,0.559857,0.828099,0.195785,0.536197, 
129,0.370634,0.386368,0.441948,0.602833,0.697452,0.777524,0.546127, 
130,0.060677,0.822586,0.831306,0.496968,0.258021,0.715473,0.530838, 
131,0.811241,0.324367,0.884277,0.904414,0.443899,0.179561,0.591293, 
132,0.063038,0.267454,0.492602,0.513850,0.712905,0.466225,0.419346, 
133,0.324911,0.556520,0.745264,0.650055,0.485336,0.432355,0.532407, 
134,0.049680,0.400245,0.739632,0.478306,0.511947,0.441824,0.436939, 
135,0.385070,0.551856,0.653546,0.639538,0.652299,0.059377,0.490281, 
136,0.115159,0.436672,0.788984,0.680381,0.961704,0.223891,0.534465, 
137,0.167192,0.732332,0.527435,0.608042,0.667891,0.632429,0.555887, 
138,0.000000,0.528631,0.315486,0.579432,0.730221,0.384247,0.423003, 
139,0.216590,0.307186,0.193681,0.277295,0.911310,0.664469,0.428422, 
140,0.044683,0.910712,0.490218,0.305832,0.013405,0.823210,0.431343, 
141,0.445062,0.000000,0.193371,0.473394,0.712475,0.345260,0.361594, 
142,0.350972,0.102443,0.716827,0.560325,0.611814,0.778937,0.520220, 
143,0.044562,0.349764,0.570918,0.675909,0.240154,0.860681,0.456998, 
144,0.119789,0.777762,0.804157,0.570214,0.390555,0.059895,0.453729, 
145,0.411833,0.687674,0.246523,0.793403,0.193062,0.609612,0.490351, 
146,0.626198,0.614644,0.247766,0.638409,0.818991,0.816685,0.627115, 
147,0.380351,0.374857,0.564494,0.784477,0.517031,0.299316,0.486754, 
148,0.397421,0.208660,0.269571,0.510722,0.161399,0.551553,0.349887, 
149,0.000000,0.000000,0.355500,0.771685,0.702316,0.245375,0.345813, 
150,0.587273,0.133813,0.745458,0.541863,0.669337,0.646074,0.553970, 
151,0.486410,0.386607,0.350297,0.680118,0.268735,0.306311,0.413080, 
152,0.352014,0.568469,0.054361,0.776317,0.872368,0.873942,0.582912, 
153,0.326342,0.180910,0.538099,0.527882,0.082974,0.445267,0.350246, 
154,0.471300,0.813067,0.211881,0.519017,0.809729,0.684227,0.584870, 
155,0.577299,0.263856,0.790370,0.137988,0.454140,0.759757,0.497235, 
156,0.548270,0.080574,0.647666,0.114394,0.328795,0.549804,0.378250, 
157,0.086368,0.644963,0.298968,0.835907,0.542498,0.098123,0.417805, 
158,0.421908,0.090538,0.130655,0.474816,0.617739,0.255635,0.331882, 
