é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
81,0.000000,0.000000,0.507000,0.000000,0.563333,0.507185,0.262920, 
82,0.000000,0.745000,0.000000,0.000000,0.496667,0.575264,0.302822, 
83,0.000000,0.766667,0.000000,0.000000,0.274038,0.621118,0.276971, 
84,0.000000,0.000000,0.000000,0.605000,0.756250,0.823591,0.364140, 
85,0.070028,0.314010,0.000000,0.000000,0.000000,0.892500,0.212756, 
86,0.000000,0.758333,0.455000,0.000000,0.439560,0.470958,0.353975, 
87,0.000000,0.000000,0.000000,0.578571,0.598837,0.423645,0.266842, 
88,0.511713,0.100401,0.000000,0.000000,0.000000,0.185529,0.132940, 
89,0.158731,0.000000,0.000000,0.540000,0.613636,0.211640,0.254001, 
90,0.927500,0.000000,0.388820,0.000000,0.000000,0.779841,0.349360, 
91,0.000000,0.360000,0.492958,0.000000,0.634615,0.686722,0.362383, 
92,0.000000,0.000000,0.000000,0.615000,0.716102,0.845912,0.362836, 
93,0.000000,0.000000,0.000000,0.000000,0.611570,0.751880,0.227242, 
94,0.000000,0.296000,0.000000,0.615000,0.000000,0.845912,0.292819, 
95,0.000000,0.000000,0.000000,0.585000,0.618852,0.366300,0.261692, 
96,0.000000,0.712500,0.427500,0.000000,0.549521,0.208232,0.316292, 
97,0.000000,0.000000,0.000000,0.567000,0.630000,0.453515,0.275086, 
98,0.000000,0.000000,0.515000,0.515000,0.356736,0.416089,0.300471, 
99,0.000000,0.766667,0.000000,0.000000,0.274038,0.621118,0.276971, 
100,0.000000,0.127796,0.000000,0.605806,0.000000,0.441951,0.195925, 
101,0.000000,0.000000,0.000000,0.660000,0.000000,0.628205,0.214701, 
102,0.652316,0.288889,0.000000,0.657000,0.000000,0.958125,0.426055, 
103,0.000000,0.000000,0.488889,0.000000,0.542553,0.960396,0.331973, 
104,0.000000,0.000000,0.000000,0.620000,0.775000,0.542017,0.322836, 
105,0.000000,0.529412,0.464853,0.000000,0.851266,0.889583,0.455852, 
106,0.000000,0.568862,0.000000,0.362934,0.756757,0.272981,0.326922, 
107,0.000000,0.000000,0.492958,0.590000,0.634615,0.686722,0.400716, 
108,0.000000,0.000000,0.537000,0.537000,0.596667,0.478851,0.358253, 
109,0.000000,0.000000,0.000000,0.563571,0.626190,0.444331,0.272349, 
110,0.800000,0.438596,0.602837,0.630000,0.767241,0.000000,0.539779, 
111,0.000000,0.722222,0.483871,0.000000,0.461538,0.549451,0.369514, 
112,0.000000,0.000000,0.000000,0.585000,0.618852,0.366300,0.261692, 
113,0.000000,0.000000,0.560000,0.560000,0.250000,0.418033,0.298005, 
114,0.214634,0.000000,0.123810,0.000000,0.281690,0.876344,0.249413, 
115,0.000000,0.225225,0.000000,0.555000,0.260434,0.840000,0.313443, 
116,0.000000,0.000000,0.000000,0.615000,0.716102,0.845912,0.362836, 
117,0.634921,0.000000,0.000000,0.634146,0.444444,0.634921,0.391405, 
118,0.000000,0.796813,0.568680,0.650856,0.791104,0.796813,0.600711, 
119,0.000000,0.000000,0.545000,0.000000,0.681250,0.693483,0.319955, 
120,0.000000,0.000000,0.384615,0.000000,0.732955,0.752101,0.311612, 
121,0.000000,0.000000,0.401302,0.000000,0.716102,0.845912,0.327219, 
122,0.000000,0.000000,0.550000,0.550000,0.271186,0.602041,0.328871, 
123,0.000000,0.000000,0.000000,0.000000,0.800000,0.796610,0.266102, 
124,0.000000,0.298246,0.000000,0.650000,0.838235,0.219780,0.334377, 
125,0.510204,0.600000,0.000000,0.336000,0.542553,0.000000,0.331460, 
126,0.000000,0.000000,0.000000,0.580000,0.211180,0.665289,0.242745, 
127,0.235479,0.000000,0.332283,0.780000,0.000000,0.926647,0.379068, 
128,0.000000,0.501639,0.000000,0.545000,0.681250,0.393185,0.353512, 
129,0.000000,0.000000,0.555556,0.575000,0.718750,0.757732,0.434506, 
130,0.070028,0.644444,0.000000,0.000000,0.370656,0.653277,0.289734, 
131,0.000000,0.000000,0.000000,0.590000,0.193353,0.479253,0.210434, 
132,0.000000,0.000000,0.000000,0.572000,0.715000,0.449550,0.289425, 
133,0.250627,0.000000,0.000000,0.631783,0.000000,0.375940,0.209725, 
134,0.000000,0.000000,0.000000,0.610000,0.699438,0.854000,0.360573, 
135,0.000000,0.720833,0.432500,0.000000,0.462428,0.202068,0.302972, 
136,0.000000,0.000000,0.500000,0.500000,0.400000,0.285714,0.280952, 
137,0.000000,0.000000,0.423515,0.000000,0.694712,0.828333,0.324427, 
138,0.476189,0.000000,0.000001,0.583334,0.750000,0.000000,0.301587, 
139,0.507472,0.000000,0.000000,0.045914,0.440771,0.531287,0.254241, 
140,0.000000,0.578947,0.525000,0.000000,0.000000,0.408163,0.252018, 
141,0.253551,0.000000,0.078992,0.453750,0.000000,0.177728,0.160670, 
142,0.438947,0.000000,0.000000,0.000000,0.875000,0.319234,0.272197, 
143,0.000000,0.000000,0.000000,0.540000,0.250000,0.396825,0.197804, 
144,0.000000,0.000000,0.545000,0.545000,0.282272,0.693483,0.344292, 
145,0.000000,0.745833,0.000000,0.309955,0.446927,0.642258,0.357496, 
146,0.455927,0.783333,0.245478,0.136905,0.851145,0.759878,0.538778, 
147,0.769231,0.000000,0.000000,0.000000,0.833333,0.595238,0.366300, 
148,0.000000,0.000000,0.471000,0.000000,0.407448,0.565540,0.240665, 
149,0.187970,0.000000,0.000000,0.570000,0.000000,0.883212,0.273530, 
150,0.387444,0.000000,0.000000,0.518571,0.000000,0.515186,0.236867, 
151,0.514799,0.625532,0.000000,0.372660,0.594323,0.128700,0.372669, 
152,0.000000,0.501639,0.000000,0.545000,0.681250,0.393185,0.353512, 
153,0.000000,0.000000,0.488889,0.560000,0.000000,0.960396,0.334881, 
154,0.000000,0.757576,0.000000,0.000000,0.342593,0.650000,0.291695, 
155,0.000000,0.373913,0.000000,0.000000,0.618852,0.366300,0.226511, 
156,0.042517,0.672727,0.000000,0.000000,0.324111,0.688971,0.288054, 
157,0.000000,0.612245,0.186916,0.245098,0.661765,0.234086,0.323352, 
158,0.000000,0.000000,0.000000,0.570000,0.572581,0.208232,0.225135, 
159,0.000000,0.000000,0.215385,0.540000,0.635294,0.132275,0.253826, 
160,0.113379,0.000000,0.000000,0.076577,0.767241,0.907029,0.310704, 
161,0.000000,0.246914,0.172650,0.694286,0.000000,0.264550,0.229733, 
162,0.924000,0.000000,0.382178,0.000000,0.000000,0.744939,0.341853, 
163,0.516161,0.539084,0.000000,0.445200,0.539084,0.824388,0.477319, 
164,0.500000,0.000000,0.000000,0.000000,0.800000,0.777778,0.346296, 
165,0.000000,0.000000,0.000000,0.564644,0.689065,0.293945,0.257942, 
166,0.000000,0.000000,0.000000,0.000000,0.800000,0.796610,0.266102, 
167,0.113379,0.672727,0.000000,0.000000,0.388013,0.726481,0.316767, 
168,0.000000,0.737500,0.000000,0.138973,0.232270,0.654292,0.293839, 
169,0.840336,0.000000,0.000000,0.615385,0.294118,0.840336,0.431696, 
170,0.102041,0.000000,0.000000,0.245283,0.000000,0.679245,0.171095, 
171,0.173494,0.000000,0.000000,0.000000,0.716102,0.845912,0.289251, 
172,0.000000,0.476923,0.000000,0.552000,0.000000,0.769608,0.299755, 
173,0.000000,0.621818,0.000000,0.515000,0.000000,0.138696,0.212586, 
174,0.640244,0.000000,0.000000,0.615385,0.796117,0.630252,0.447000, 
175,0.000000,0.615385,0.398230,0.000000,0.838235,0.819149,0.445166, 
176,0.000000,0.284211,0.000000,0.000000,0.732955,0.752101,0.294878, 
177,0.000000,0.000000,0.264550,0.076577,0.793651,0.793651,0.321405, 
178,0.000000,0.000000,0.000000,0.373333,0.700000,0.382653,0.242664, 
179,0.219780,0.000000,0.000000,0.709091,0.153846,0.260869,0.223931, 
180,0.749046,0.000000,0.000000,0.000000,0.840336,0.720288,0.384945, 
181,0.000000,0.351351,0.425000,0.246575,0.470588,0.504202,0.332953, 
182,0.000000,0.000000,0.401302,0.000000,0.716102,0.845912,0.327219, 
183,0.000000,0.000000,0.401302,0.000000,0.716102,0.845912,0.327219, 
184,0.056689,0.000000,0.000000,0.000000,0.787500,0.928731,0.295487, 
185,0.000000,0.000000,0.525554,0.582000,0.609477,0.834988,0.425337, 
186,0.324074,0.000000,0.000000,0.579439,0.000000,0.685590,0.264850, 
187,0.000000,0.880597,0.059761,0.301676,0.000000,0.588757,0.305132, 
188,0.000000,0.000000,0.453384,0.295200,0.621005,0.696864,0.344409, 
189,0.400534,0.137845,0.535000,0.535000,0.000000,0.505898,0.352379, 
190,0.000000,0.246914,0.486000,0.000000,0.623077,0.088183,0.240696, 
191,0.000000,0.480985,0.533164,0.641250,0.467836,0.369653,0.415481, 
192,0.916031,0.138889,0.000000,0.000000,0.138889,0.793651,0.331243, 
193,0.170068,0.000000,0.000000,0.261745,0.000000,0.680272,0.185348, 
194,0.000000,0.635294,0.000000,0.000000,0.640000,0.502232,0.296254, 
195,0.226160,0.310078,0.000000,0.000000,0.354009,0.826296,0.286090, 
196,0.615942,0.000000,0.236686,0.000000,0.892857,0.960396,0.450980, 
197,0.000000,0.000000,0.296667,0.000000,0.238152,0.642055,0.196145, 
198,0.000000,0.000000,0.000000,0.615000,0.716102,0.845912,0.362836, 
199,0.000000,0.000000,0.520000,0.520000,0.000000,0.532609,0.262101, 
200,0.000000,0.500000,0.000000,0.375000,0.666667,0.357143,0.316468, 
201,0.534045,0.309804,0.000000,0.000000,0.459790,0.636959,0.323433, 
202,0.652574,0.000000,0.208034,0.000000,0.877193,0.751880,0.414947, 
203,0.000000,0.000000,0.000000,0.615000,0.716102,0.845912,0.362836, 
204,0.000000,0.137255,0.622990,0.591193,0.614458,0.224089,0.364998, 
205,0.000000,0.000000,0.000000,0.466000,0.669237,0.774043,0.318213, 
206,0.000000,0.314286,0.750000,0.562500,0.625000,0.380952,0.438790, 
207,0.212164,0.000000,0.000000,0.149746,0.693069,0.913963,0.328157, 
208,0.000000,0.000000,0.522000,0.000000,0.434049,0.492611,0.241443, 
209,0.000000,0.000000,0.513126,0.585000,0.618852,0.779503,0.416080, 
210,0.699574,0.502513,0.000000,0.597000,0.656977,0.430725,0.481131, 
211,0.000000,0.000000,0.000000,0.615000,0.716102,0.845912,0.362836, 
212,0.352734,0.375610,0.427303,0.000000,0.691176,0.829154,0.445996, 
213,0.579819,0.000000,0.000000,0.013761,0.104218,0.959488,0.276215, 
214,0.000000,0.725000,0.435000,0.000000,0.000000,0.492611,0.275435, 
215,0.383333,0.000000,0.000000,0.520000,0.000000,0.532609,0.239324, 
216,0.000000,0.000000,0.570000,0.000000,0.712500,0.450363,0.288811, 
217,0.000000,0.405405,0.378788,0.338235,0.000000,0.628205,0.291772, 
218,0.000000,0.000000,0.540000,0.000000,0.613636,0.211640,0.227546, 
219,0.000000,0.000000,0.472500,0.059946,0.000000,0.586724,0.186528, 
220,0.000000,0.000000,0.532500,0.728033,0.656977,0.402414,0.386654, 
221,0.000000,0.444828,0.000000,0.221763,0.542636,0.664452,0.312280, 
222,0.000000,0.000000,0.000000,0.570000,0.633333,0.375940,0.263212, 
223,0.127551,0.000000,0.840000,0.313725,0.509091,0.510204,0.383429, 
224,0.000000,0.466667,0.000000,0.336522,0.465116,0.498339,0.294441, 
225,0.000000,0.000000,0.492958,0.590000,0.634615,0.686722,0.400716, 
226,0.924000,0.000000,0.382178,0.000000,0.000000,0.744939,0.341853, 
227,0.000000,0.691667,0.000000,0.228188,0.000000,0.688468,0.268054, 
228,0.000000,0.078431,0.510000,0.000000,0.370656,0.646444,0.267589, 
229,0.000000,0.000000,0.000000,0.550000,0.513158,0.770000,0.305526, 
230,0.000000,0.578947,0.000000,0.525000,0.000000,0.408163,0.252018, 
231,0.000000,0.000000,0.378788,0.660000,0.000000,0.788462,0.304542, 
232,0.000000,0.000000,0.000000,0.612000,0.098039,0.515625,0.204277, 
233,0.300000,0.000000,0.000000,0.552000,0.518987,0.465839,0.306138, 
234,0.000000,0.450000,0.560000,0.560000,0.000000,0.255102,0.304184, 
235,0.000000,0.000000,0.000000,0.540000,0.293706,0.497409,0.221853, 
236,0.000000,0.000000,0.000000,0.578571,0.598837,0.423645,0.266842, 
237,0.665000,0.000000,0.860870,0.570000,0.572581,0.375940,0.507398, 
238,0.210084,0.000000,0.510000,0.000000,0.000000,0.730496,0.241763, 
239,0.178571,0.000000,0.600000,0.000000,0.382979,0.089286,0.208473, 
240,0.000000,0.000000,0.623583,0.284516,0.566456,0.415300,0.314976, 
241,0.625000,0.000000,0.229358,0.000000,0.888889,0.952381,0.449271, 
242,0.000000,0.360000,0.465000,0.369159,0.322581,0.602620,0.353227, 
243,0.000000,0.000000,0.209028,0.000000,0.701981,0.308377,0.203231, 
244,0.000000,0.000000,0.085714,0.583333,0.750000,0.000000,0.236508, 
245,0.000000,0.257143,0.217391,0.615385,0.294118,0.476852,0.310148, 
246,0.000000,0.193798,0.526154,0.000000,0.263158,0.677239,0.276725, 
247,0.428415,0.000000,0.000000,0.505000,0.321839,0.561354,0.302768, 
248,0.000000,0.000000,0.517500,0.000000,0.421756,0.502879,0.240356, 
249,0.074405,0.000000,0.523636,0.000000,0.416667,0.446429,0.243523, 
250,0.486957,0.000000,0.487500,0.000000,0.342593,0.556701,0.312292, 
251,0.000000,0.501639,0.000000,0.331502,0.240822,0.262123,0.222681, 
252,0.000000,0.000000,0.000000,0.590000,0.634615,0.242131,0.244458, 
253,0.000000,0.644444,0.000000,0.510000,0.310680,0.420168,0.314215, 
254,0.933333,0.666667,0.000000,0.000000,0.000000,0.714286,0.385714, 
255,0.000000,0.000000,0.547500,0.000000,0.505906,0.730000,0.297234, 
256,0.000000,0.000000,0.000000,0.582353,0.271186,0.389610,0.207192, 
257,0.847059,0.000000,0.000000,0.000000,0.610169,0.734177,0.365234, 
