ó^Ç¶ÇΩèdóvìx,0.320000,0.380000,0.210000,0.350000,0.150000,0.290000,0.120000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],ãÊä‘ïùÇÃëçòa
166,0.305138, 0.357519,0.240789, 0.305138,0.178759, 0.252694,0.119173, 0.240789,0.312281
167,0.311786, 0.355264,0.268485, 0.311786,0.177632, 0.268485,0.103929, 0.202632,0.276336
168,0.305634, 0.347301,0.173650, 0.261722,0.249817, 0.305634,0.106425, 0.249817,0.328947
169,0.352941, 0.360294,0.352941, 0.360294,0.176471, 0.186274,0.093137, 0.117647,0.049019
170,0.267857, 0.299107,0.267857, 0.299107,0.232143, 0.267857,0.133929, 0.232143,0.196429
171,0.414815, 0.451852,0.225926, 0.259259,0.129630, 0.207407,0.103704, 0.207407,0.251852
172,0.449944, 0.475806,0.205164, 0.224972,0.112486, 0.167861,0.158602, 0.205164,0.147607
173,0.268485, 0.311786,0.311786, 0.355264,0.177632, 0.268485,0.103929, 0.202632,0.276336
174,0.437607, 0.487607,0.199573, 0.231624,0.115812, 0.218803,0.109402, 0.199573,0.275214
175,0.324675, 0.378247,0.256494, 0.324675,0.162338, 0.209957,0.087121, 0.256494,0.338745
176,0.267857, 0.299107,0.232143, 0.267857,0.267857, 0.299107,0.133929, 0.232143,0.196429
177,0.268485, 0.311786,0.311786, 0.355264,0.177632, 0.268485,0.103929, 0.202632,0.276336
178,0.340204, 0.394552,0.197276, 0.287044,0.143522, 0.340204,0.091177, 0.206022,0.455643
179,0.358861, 0.384902,0.335276, 0.358861,0.128301, 0.177442,0.088721, 0.167638,0.177685
180,0.304762, 0.338095,0.263095, 0.304762,0.169048, 0.263095,0.152381, 0.204762,0.221429
181,0.324675, 0.378247,0.256494, 0.324675,0.162338, 0.198052,0.099026, 0.256494,0.314935
182,0.414815, 0.451852,0.225926, 0.259259,0.129630, 0.207407,0.103704, 0.207407,0.251852
183,0.275000, 0.306250,0.275000, 0.316667,0.225000, 0.275000,0.102083, 0.225000,0.245833
184,0.425397, 0.447619,0.223810, 0.265079,0.132540, 0.212698,0.132540, 0.160317,0.171429
185,0.400000, 0.400000,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.000000
186,0.422222, 0.447222,0.211111, 0.227778,0.183333, 0.211111,0.113889, 0.183333,0.138889
187,0.274697, 0.317997,0.317997, 0.349743,0.174872, 0.274697,0.105999, 0.183999,0.252871
188,0.340909, 0.361742,0.325758, 0.340909,0.170455, 0.198232,0.099116, 0.162879,0.127525
189,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
190,0.302521, 0.350140,0.273109, 0.302521,0.175070, 0.273109,0.136555, 0.186975,0.225490
191,0.298115, 0.339782,0.255456, 0.298115,0.169891, 0.255456,0.127728, 0.255456,0.297619
192,0.422619, 0.436508,0.218254, 0.227183,0.218254, 0.227183,0.109127, 0.140873,0.063492
193,0.285714, 0.297619,0.285714, 0.303571,0.285714, 0.297619,0.101190, 0.142857,0.083333
194,0.422222, 0.447222,0.211111, 0.227778,0.183333, 0.211111,0.113889, 0.183333,0.138889
195,0.285714, 0.303571,0.285714, 0.297619,0.285714, 0.297619,0.101190, 0.142857,0.083333
196,0.275000, 0.316667,0.275000, 0.306250,0.225000, 0.275000,0.102083, 0.225000,0.245833
197,0.305138, 0.357519,0.240789, 0.305138,0.178759, 0.252694,0.119173, 0.240789,0.312281
198,0.422222, 0.472222,0.211111, 0.244444,0.122222, 0.211111,0.105556, 0.211111,0.277778
199,0.285714, 0.285714,0.285714, 0.285714,0.285714, 0.285714,0.142857, 0.142857,-0.000000
200,0.267857, 0.299107,0.267857, 0.299107,0.232143, 0.267857,0.133929, 0.232143,0.196429
