ó^Ç¶ÇΩèdóvìx,0.120000,0.240000,0.120000,0.220000,0.120000,0.200000,0.110000,0.170000,0.090000,0.170000,0.070000,0.170000,0.040000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
36,0.205787, 0.254974,0.127487, 0.223216,0.094412, 0.167222,0.063981, 0.173783,0.066264, 0.150449,0.055364, 0.215527,0.048598, 0.152936,0.676214
37,0.149715, 0.183729,0.149715, 0.193933,0.149715, 0.183729,0.085062, 0.171693,0.085062, 0.175356,0.074857, 0.175356,0.053568, 0.168512,0.504613
38,0.089902, 0.207176,0.157825, 0.203280,0.157825, 0.201781,0.103588, 0.193539,0.078913, 0.139446,0.065595, 0.186397,0.035900, 0.178833,0.620905
39,0.112827, 0.178303,0.157626, 0.246062,0.112827, 0.166398,0.083199, 0.186198,0.071294, 0.180183,0.088337, 0.194531,0.071294, 0.150922,0.605192
40,0.086565, 0.222188,0.158934, 0.199750,0.089671, 0.183335,0.146512, 0.196201,0.111094, 0.192664,0.071417, 0.171001,0.038669, 0.131999,0.594277
41,0.090593, 0.219062,0.166659, 0.221850,0.139304, 0.204593,0.085793, 0.175358,0.109531, 0.198679,0.060722, 0.167679,0.037887, 0.122290,0.619022
42,0.104269, 0.208917,0.131353, 0.208539,0.198335, 0.235602,0.099167, 0.152998,0.099167, 0.141093,0.105379, 0.158100,0.037507, 0.119576,0.449646
43,0.126476, 0.158842,0.159492, 0.261455,0.126476, 0.180656,0.126476, 0.169631,0.052947, 0.147580,0.126476, 0.169631,0.034370, 0.159492,0.494573
44,0.147465, 0.187643,0.147465, 0.193383,0.147465, 0.201036,0.092865, 0.173106,0.073732, 0.174937,0.082661, 0.174937,0.038698, 0.164608,0.539300
45,0.098700, 0.187877,0.137877, 0.204543,0.142639, 0.205337,0.086795, 0.177437,0.098700, 0.184067,0.084415, 0.178353,0.031067, 0.182193,0.639614
46,0.118588, 0.220777,0.185279, 0.236300,0.106245, 0.158548,0.097401, 0.163626,0.071609, 0.166663,0.063446, 0.151375,0.066462, 0.193683,0.581940
47,0.146995, 0.186219,0.085967, 0.177137,0.146995, 0.181009,0.088569, 0.172636,0.146995, 0.191213,0.054137, 0.165792,0.083702, 0.172636,0.493283
48,0.186543, 0.237825,0.139759, 0.204180,0.102090, 0.212998,0.093271, 0.143821,0.069880, 0.172341,0.077398, 0.171505,0.031823, 0.156566,0.598471
49,0.165785, 0.225649,0.102620, 0.190275,0.165785, 0.218846,0.097518, 0.152337,0.086974, 0.191759,0.055335, 0.179390,0.043487, 0.124241,0.564992
50,0.160220, 0.198681,0.160220, 0.198681,0.080110, 0.178077,0.080110, 0.178077,0.160220, 0.198681,0.080110, 0.178077,0.040055, 0.108681,0.477912
51,0.091944, 0.201510,0.080955, 0.192862,0.161909, 0.205133,0.161909, 0.216122,0.083890, 0.196830,0.057938, 0.190285,0.034747, 0.123965,0.653416
52,0.148017, 0.203521,0.101760, 0.243094,0.115595, 0.209299,0.085437, 0.213570,0.084560, 0.185160,0.048041, 0.186707,0.039988, 0.135252,0.753205
53,0.087294, 0.175669,0.154180, 0.194316,0.154180, 0.200098,0.087835, 0.186414,0.142275, 0.189100,0.054795, 0.179744,0.031856, 0.162244,0.575172
54,0.124317, 0.169390,0.124317, 0.169390,0.222631, 0.259622,0.072790, 0.222631,0.072790, 0.153471,0.062158, 0.153966,0.064854, 0.127671,0.512285
55,0.111639, 0.165211,0.183166, 0.238585,0.111639, 0.165211,0.135449, 0.204330,0.067724, 0.165524,0.075243, 0.191570,0.048437, 0.136270,0.533402
56,0.186396, 0.232031,0.093198, 0.180395,0.113805, 0.207133,0.156586, 0.214174,0.066100, 0.146609,0.056524, 0.176675,0.039146, 0.131227,0.576488
57,0.170417, 0.240276,0.097113, 0.210677,0.106402, 0.207322,0.085209, 0.210677,0.085209, 0.154361,0.042604, 0.198989,0.044758, 0.145986,0.736575
58,0.157499, 0.206774,0.103387, 0.196673,0.098336, 0.181309,0.144512, 0.189967,0.078750, 0.181309,0.078750, 0.124013,0.090400, 0.168322,0.496732
59,0.201187, 0.236901,0.107999, 0.159075,0.215998, 0.254094,0.070014, 0.129775,0.063589, 0.201187,0.065252, 0.133973,0.050297, 0.110660,0.451329
60,0.152145, 0.197600,0.152145, 0.191106,0.085813, 0.183504,0.152145, 0.200847,0.084256, 0.171814,0.053962, 0.168511,0.040248, 0.165902,0.558570
61,0.187902, 0.245249,0.109869, 0.174580,0.125608, 0.198318,0.086749, 0.197706,0.093951, 0.167142,0.069845, 0.161067,0.033634, 0.148382,0.584886
62,0.170809, 0.206523,0.156523, 0.185095,0.118026, 0.183796,0.170809, 0.206523,0.059013, 0.156523,0.085405, 0.134510,0.042702, 0.123741,0.393424
63,0.143618, 0.180522,0.090261, 0.263093,0.130631, 0.183877,0.071809, 0.183618,0.120427, 0.186475,0.065315, 0.160427,0.052619, 0.167310,0.650643
64,0.151285, 0.205707,0.085846, 0.184252,0.151285, 0.195502,0.075642, 0.187915,0.075642, 0.187915,0.075642, 0.187915,0.054091, 0.181360,0.661131
65,0.115841, 0.175764,0.087882, 0.174543,0.154396, 0.238276,0.154396, 0.195031,0.144711, 0.183452,0.073564, 0.160221,0.033810, 0.108115,0.470800
66,0.167124, 0.189446,0.176053, 0.207799,0.176053, 0.211767,0.088026, 0.180111,0.094723, 0.189040,0.062652, 0.116598,0.031574, 0.109035,0.407589
67,0.190270, 0.233493,0.106124, 0.173808,0.142062, 0.210904,0.077207, 0.200914,0.095135, 0.174375,0.068714, 0.157422,0.031587, 0.137986,0.577804
68,0.151285, 0.195502,0.151285, 0.195502,0.085846, 0.187915,0.085846, 0.187915,0.086631, 0.187915,0.075642, 0.176926,0.050428, 0.181360,0.626071
