ó^Ç¶ÇΩèdóvìx,0.115000,0.245000,0.110000,0.230000,0.105000,0.215000,0.090000,0.190000,0.085000,0.175000,0.080000,0.160000,0.065000,0.135000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
36,0.043803, 0.211195,0.054754, 0.246394,0.087607, 0.284722,0.054754, 0.246394,0.087607, 0.213098,0.043803, 0.233618,0.021902, 0.170347,1.211538
37,0.083579, 0.292525,0.041789, 0.203723,0.041789, 0.239339,0.047013, 0.239339,0.031342, 0.211558,0.041789, 0.266407,0.029692, 0.230116,1.366012
38,0.075015, 0.275054,0.075015, 0.237546,0.056768, 0.194633,0.075015, 0.287556,0.025005, 0.204585,0.037507, 0.226711,0.025005, 0.204585,1.261342
39,0.104842, 0.332243,0.051722, 0.232749,0.052421, 0.262105,0.052421, 0.251427,0.026939, 0.197037,0.038031, 0.202832,0.017959, 0.177273,1.311331
40,0.103412, 0.293001,0.067218, 0.217165,0.051706, 0.251143,0.035456, 0.230461,0.033609, 0.244428,0.035456, 0.213287,0.014430, 0.209229,1.317429
41,0.053851, 0.195822,0.107702, 0.287206,0.107702, 0.233355,0.053851, 0.233355,0.053851, 0.184633,0.053851, 0.195822,0.035901, 0.203096,1.066580
42,0.039162, 0.261083,0.028655, 0.203343,0.058744, 0.261083,0.048953, 0.269242,0.048953, 0.264346,0.032635, 0.254556,0.014328, 0.214916,1.457139
43,0.050099, 0.242144,0.054274, 0.235186,0.063028, 0.266116,0.044916, 0.217095,0.044916, 0.239553,0.034278, 0.257086,0.028012, 0.223297,1.360955
44,0.053295, 0.242492,0.098976, 0.296929,0.034642, 0.163020,0.040755, 0.184756,0.069284, 0.277134,0.034642, 0.218790,0.040755, 0.244530,1.255303
45,0.054110, 0.261532,0.033067, 0.210074,0.081165, 0.269262,0.033067, 0.210074,0.027055, 0.211855,0.027055, 0.229968,0.054110, 0.297605,1.380740
46,0.071123, 0.295357,0.038525, 0.184919,0.071123, 0.237076,0.035561, 0.232861,0.032442, 0.227094,0.035561, 0.232861,0.048663, 0.256832,1.334003
47,0.055554, 0.199995,0.111108, 0.296289,0.062498, 0.192588,0.055554, 0.222217,0.037036, 0.229161,0.035087, 0.233912,0.035087, 0.233912,1.216150
48,0.039594, 0.283097,0.038604, 0.265160,0.025736, 0.194451,0.039594, 0.271659,0.025736, 0.228766,0.038604, 0.250762,0.025736, 0.272500,1.532790
49,0.064828, 0.237702,0.063690, 0.270684,0.046543, 0.232715,0.046543, 0.273253,0.031845, 0.242024,0.031845, 0.207989,0.031845, 0.218494,1.365720
50,0.050624, 0.219371,0.069275, 0.255932,0.031339, 0.202496,0.054843, 0.239313,0.054843, 0.239313,0.034637, 0.242462,0.031339, 0.274213,1.346202
51,0.077708, 0.284930,0.052146, 0.238521,0.052146, 0.195709,0.052146, 0.238521,0.055043, 0.256869,0.038854, 0.195709,0.018348, 0.243349,1.307216
52,0.092138, 0.253380,0.060727, 0.254477,0.060727, 0.217607,0.037111, 0.209569,0.047714, 0.251532,0.039294, 0.235765,0.026196, 0.213761,1.272182
53,0.053569, 0.241059,0.042855, 0.214274,0.035712, 0.171420,0.053569, 0.285699,0.053569, 0.285699,0.042855, 0.257129,0.035712, 0.226879,1.364319
54,0.098074, 0.294223,0.079214, 0.211237,0.072265, 0.216796,0.049037, 0.211237,0.036133, 0.211237,0.049037, 0.211237,0.049037, 0.211237,1.134405
55,0.045105, 0.225524,0.059456, 0.257644,0.045105, 0.193783,0.051633, 0.236174,0.072669, 0.266452,0.045105, 0.236174,0.024223, 0.240954,1.313409
56,0.040859, 0.209744,0.076271, 0.272395,0.038135, 0.238345,0.027239, 0.216977,0.027239, 0.212468,0.076271, 0.299634,0.027239, 0.237183,1.373492
57,0.047010, 0.220686,0.076391, 0.250721,0.047010, 0.280102,0.038196, 0.232812,0.038196, 0.232812,0.041668, 0.232812,0.025464, 0.236119,1.372130
58,0.074348, 0.245247,0.061957, 0.278807,0.030979, 0.195654,0.061957, 0.245247,0.036445, 0.278807,0.036445, 0.218672,0.024783, 0.210654,1.346171
