ó^Ç¶ÇΩèdóvìx,0.145000,0.215000,0.130000,0.210000,0.115000,0.205000,0.090000,0.190000,0.075000,0.185000,0.060000,0.180000,0.035000,0.165000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],ãÊä‘ïùÇÃëçòa
47,0.172969, 0.217187,0.141223, 0.199424,0.141223, 0.199424,0.070612, 0.170527,0.086485, 0.170527,0.055767, 0.163779,0.047074, 0.163779,0.569296
48,0.170706, 0.254556,0.099422, 0.194516,0.112516, 0.211939,0.112516, 0.183605,0.062211, 0.194516,0.056361, 0.169957,0.029239, 0.147940,0.714058
49,0.231096, 0.281963,0.084510, 0.231096,0.140981, 0.195943,0.124339, 0.182251,0.073467, 0.128764,0.037786, 0.147196,0.020151, 0.120456,0.575340
50,0.153379, 0.231069,0.109232, 0.212339,0.171523, 0.230756,0.085762, 0.194733,0.036309, 0.183428,0.058257, 0.197497,0.032209, 0.103506,0.706658
51,0.122779, 0.190465,0.162759, 0.203830,0.100512, 0.190465,0.162759, 0.220752,0.081379, 0.155014,0.066158, 0.148343,0.024556, 0.170229,0.558195
52,0.150778, 0.190914,0.150778, 0.200098,0.150778, 0.197717,0.085593, 0.183013,0.053661, 0.167821,0.083911, 0.183013,0.031176, 0.170748,0.586648
53,0.150594, 0.199914,0.150594, 0.196512,0.150594, 0.199914,0.075297, 0.181730,0.053599, 0.175030,0.075297, 0.181730,0.037649, 0.171546,0.612752
54,0.177172, 0.218838,0.177172, 0.218838,0.088586, 0.187723,0.084121, 0.190159,0.084121, 0.124300,0.095079, 0.196652,0.042061, 0.115177,0.503376
55,0.153601, 0.197819,0.153601, 0.200540,0.141697, 0.184554,0.076801, 0.182173,0.076801, 0.182173,0.076801, 0.170268,0.033441, 0.169730,0.574514
56,0.209815, 0.245066,0.100659, 0.222444,0.122533, 0.226449,0.100659, 0.158586,0.081070, 0.163420,0.058446, 0.152104,0.032850, 0.125901,0.587937
57,0.155219, 0.223076,0.155219, 0.216647,0.095467, 0.151510,0.095467, 0.185973,0.077609, 0.192123,0.054162, 0.181306,0.037195, 0.179028,0.659328
58,0.173262, 0.208183,0.164604, 0.198370,0.173262, 0.205497,0.097620, 0.185383,0.086631, 0.185383,0.057754, 0.125375,0.034652, 0.104023,0.424428
59,0.143978, 0.183565,0.143978, 0.205166,0.091782, 0.214883,0.086511, 0.179415,0.104145, 0.183538,0.071989, 0.183538,0.035883, 0.171628,0.643467
60,0.091058, 0.188814,0.147830, 0.202116,0.107015, 0.205591,0.090411, 0.230513,0.079463, 0.194299,0.065516, 0.172084,0.041745, 0.183545,0.753924
61,0.162236, 0.211686,0.162236, 0.201796,0.092107, 0.193188,0.081118, 0.193188,0.081118, 0.193188,0.081118, 0.193188,0.033546, 0.120288,0.613045
62,0.166377, 0.269558,0.117972, 0.188578,0.126375, 0.192297,0.075688, 0.180911,0.050629, 0.160525,0.064099, 0.187805,0.034052, 0.185136,0.729617
63,0.134400, 0.196661,0.164194, 0.210112,0.155791, 0.204110,0.067200, 0.187303,0.055968, 0.158836,0.082097, 0.186926,0.041048, 0.155353,0.598603
64,0.139947, 0.222567,0.248149, 0.279895,0.101462, 0.158003,0.070441, 0.155614,0.068302, 0.150231,0.059799, 0.150965,0.051217, 0.143407,0.521366
65,0.179637, 0.249705,0.109546, 0.159150,0.072630, 0.204700,0.089818, 0.160340,0.089818, 0.217732,0.054773, 0.204700,0.039917, 0.167534,0.727719
66,0.157931, 0.208724,0.157931, 0.202148,0.089169, 0.188618,0.094309, 0.199200,0.083727, 0.189677,0.055818, 0.182420,0.056045, 0.134282,0.610140
67,0.153068, 0.201769,0.153068, 0.202388,0.079781, 0.184203,0.076534, 0.184203,0.141163, 0.186798,0.051023, 0.182118,0.041770, 0.162115,0.607189
68,0.146921, 0.203611,0.120541, 0.196923,0.101805, 0.221889,0.088600, 0.161811,0.109113, 0.201010,0.064358, 0.175939,0.054556, 0.152922,0.628210
69,0.209870, 0.248831,0.192012, 0.223262,0.104935, 0.137078,0.059610, 0.192012,0.073623, 0.131251,0.104935, 0.158674,0.039668, 0.124240,0.430694
70,0.160954, 0.203079,0.160954, 0.203079,0.160954, 0.203079,0.080477, 0.182780,0.080477, 0.182780,0.053651, 0.116191,0.040239, 0.171306,0.524586
71,0.165778, 0.211618,0.161243, 0.198280,0.100681, 0.180291,0.089692, 0.171272,0.148256, 0.189588,0.057716, 0.176753,0.034454, 0.114379,0.484360
72,0.166101, 0.217122,0.161278, 0.206732,0.084516, 0.199208,0.073527, 0.191045,0.087132, 0.176358,0.047277, 0.184052,0.062417, 0.143234,0.635502
73,0.156136, 0.196952,0.144231, 0.179945,0.156136, 0.196952,0.144231, 0.175977,0.078068, 0.166209,0.056014, 0.171173,0.026023, 0.151953,0.478324
74,0.173268, 0.208982,0.173268, 0.208982,0.173268, 0.208982,0.086634, 0.122348,0.086634, 0.186255,0.049528, 0.173268,0.043317, 0.105267,0.428168
75,0.141932, 0.191138,0.141932, 0.188956,0.141932, 0.235968,0.109481, 0.174899,0.081368, 0.174245,0.069586, 0.162737,0.024251, 0.161575,0.579037
76,0.194605, 0.239718,0.160875, 0.221060,0.108581, 0.194357,0.060593, 0.181952,0.070159, 0.150598,0.053625, 0.117098,0.043243, 0.203534,0.616636
77,0.162207, 0.207262,0.162207, 0.199936,0.092093, 0.191176,0.162207, 0.210925,0.057732, 0.117946,0.046191, 0.178771,0.033684, 0.177663,0.567357
78,0.109881, 0.215015,0.195882, 0.240813,0.195882, 0.238090,0.076432, 0.141131,0.054940, 0.140389,0.069623, 0.138120,0.029649, 0.154152,0.535419
79,0.146766, 0.261641,0.116365, 0.181128,0.085604, 0.196766,0.116365, 0.198607,0.082190, 0.179453,0.058446, 0.185907,0.036631, 0.154132,0.715268
80,0.130634, 0.198603,0.154392, 0.202011,0.099301, 0.207937,0.074435, 0.183870,0.086124, 0.164068,0.102137, 0.192853,0.044429, 0.159205,0.617094
81,0.131596, 0.201117,0.107786, 0.168500,0.176117, 0.231899,0.053893, 0.192658,0.088058, 0.142072,0.107786, 0.168500,0.040223, 0.189794,0.589081
